latitude,longitude
40.4741763,-3.7185239
40.4730117,-3.7212068
40.4690952,-3.7168392
40.4715754,-3.7198301
40.4732133,-3.7207127
40.471941,-3.7197305
40.4714569,-3.7193813
40.471841,-3.7161305
40.4719927,-3.7213089
40.4744499,-3.7190685
40.4720761,-3.7208841
40.4742299,-3.7149622
40.47336,-3.7208113
40.4757012,-3.7197666
40.4743705,-3.7154871
40.4730941,-3.716745
40.4706568,-3.7250549
40.4730126,-3.7186949
40.4727281,-3.7214909
40.4746115,-3.721115
40.4611922,-3.724667
40.4652796,-3.7142956
40.463284,-3.7210965
40.4615606,-3.7220808
40.4656048,-3.7197864
40.464671,-3.7214706
40.4621578,-3.7212455
40.4623692,-3.7204371
40.4647483,-3.7172183
40.4638957,-3.7194687
40.4627883,-3.7155276
40.4648425,-3.7190419
40.4676686,-3.7166904
40.4675109,-3.7170253
40.4626371,-3.7190388
40.4616533,-3.7234608
40.4614037,-3.7211177
40.4659371,-3.7166466
40.4641527,-3.7142651
40.4611291,-3.7246126
40.4538644,-3.7170728
40.4578252,-3.7165416
40.4569071,-3.7163771
40.4555961,-3.7130866
40.4569244,-3.7165597
40.4500436,-3.7167986
40.4548707,-3.7124712
40.4545133,-3.7145863
40.4532334,-3.717233
40.4570442,-3.7173156
40.4550647,-3.7157523
40.4561351,-3.7129492
40.4449698,-3.7122409
40.4425323,-3.714175
40.4404113,-3.718436
40.4441767,-3.7150384
40.4429698,-3.7140409
40.4448698,-3.7137409
40.4461562,-3.717905
40.4418316,-3.7159987
40.4410144,-3.7158248
40.4470881,-3.7151653
40.4429144,-3.7153248
40.448151,-3.715534
40.4451972,-3.7138477
40.4410038,-3.7159316
40.4421043,-3.7144153
40.4417379,-3.7195205
40.4464044,-3.7166187
40.4445525,-3.7130506
40.4404491,-3.7178823
40.4430905,-3.7148704
40.4324835,-3.719501
40.4323091,-3.7163904
40.4345358,-3.7152506
40.4345034,-3.7159762
40.4331381,-3.7169485
40.4353674,-3.7162303
40.4314149,-3.718449
40.4379367,-3.7161142
40.4396985,-3.7165761
40.4358755,-3.7132292
40.4334148,-3.717507
40.4393096,-3.7139715
40.4340664,-3.7143296
40.4397505,-3.7153289
40.4356165,-3.7193612
40.4404113,-3.718436
40.4395768,-3.7169985
40.4392765,-3.7185299
40.4371899,-3.7135681
40.4400227,-3.7146877
40.4284255,-3.7201455
40.4324835,-3.719501
40.428569,-3.7188056
40.4278982,-3.7168979
40.4306632,-3.7181777
40.428036,-3.7157619
40.4290496,-3.7205061
40.4314149,-3.718449
40.4306796,-3.7188761
40.4267589,-3.7125088
40.4311937,-3.7212817
40.4309133,-3.7225645
40.4302032,-3.7189808
40.4260129,-3.7146084
40.4276427,-3.7179074
40.428622,-3.7191315
40.4282888,-3.7179066
40.4258771,-3.7138317
40.4295365,-3.7213876
40.4280684,-3.714235
40.4201146,-3.7178565
40.4210109,-3.7158968
40.4223147,-3.7158171
40.4211691,-3.7153165
40.4147903,-3.7161716
40.4217145,-3.7171936
40.4213236,-3.7148537
40.4147873,-3.7199456
40.4222804,-3.7154831
40.4191062,-3.7131102
40.4149631,-3.7192981
40.4156056,-3.7145328
40.4215775,-3.7161052
40.421747,-3.7165724
40.4157049,-3.7171398
40.4205359,-3.7168968
40.4195258,-3.7182963
40.4138393,-3.71773
40.4221663,-3.7148336
40.4207338,-3.7190838
40.4068129,-3.7132596
40.4115566,-3.71795
40.4110021,-3.7152329
40.4092321,-3.7151179
40.4090893,-3.7138622
40.4090251,-3.7135676
40.4103168,-3.7150674
40.4055322,-3.7210551
40.4057797,-3.718491
40.4098081,-3.7195731
40.4081172,-3.7192192
40.4113353,-3.7221544
40.4103407,-3.715309
40.4095508,-3.7193143
40.4118251,-3.7174506
40.4118251,-3.7174506
40.4118251,-3.7174506
40.4069955,-3.7206402
40.4099768,-3.7200666
40.4128756,-3.7194249
40.4007522,-3.717547
40.4001677,-3.7193961
40.3981806,-3.7184153
40.3963171,-3.7187433
40.4033376,-3.7226234
40.4031607,-3.7168384
40.4019695,-3.7200203
40.4019695,-3.7200203
40.4019695,-3.7200203
40.3980737,-3.7134053
40.3975965,-3.7134128
40.4040885,-3.721228
40.3965498,-3.7166783
40.3963132,-3.7176934
40.4031659,-3.7143874
40.3974187,-3.7183723
40.4034554,-3.7137312
40.4030969,-3.713747
40.3981299,-3.7213857
40.4010005,-3.7233299
40.3875095,-3.7193568
40.389504,-3.7157668
40.3909552,-3.7227984
40.3963171,-3.7187433
40.3936806,-3.7183595
40.391457,-3.717973
40.3899225,-3.7209229
40.3910997,-3.7244962
40.3945089,-3.7177246
40.3889868,-3.7209654
40.388823,-3.7229215
40.3943504,-3.7207543
40.3866572,-3.7218665
40.3915177,-3.7215974
40.3940245,-3.7200875
40.3963132,-3.7176934
40.393097,-3.7238276
40.3949417,-3.715765
40.3894128,-3.7236087
40.388332,-3.7208518
40.4629886,-3.7064427
40.4661215,-3.7120549
40.4652608,-3.7067104
40.467948,-3.7039345
40.4702466,-3.7033795
40.4652796,-3.7142956
40.4665995,-3.7070211
40.4679522,-3.7084747
40.4679522,-3.7084747
40.4679522,-3.7084747
40.465892,-3.7053755
40.4686657,-3.7022679
40.4686657,-3.7022679
40.4686657,-3.7022679
40.4675601,-3.7050263
40.4678872,-3.7142757
40.4711453,-3.7121287
40.46513,-3.7044987
40.4670038,-3.7127451
40.4680708,-3.7045465
40.4629886,-3.7064427
40.459947,-3.7068523
40.4623537,-3.7036587
40.4541876,-3.7071221
40.4601328,-3.7067535
40.4615032,-3.706558
40.4583565,-3.7071527
40.460964,-3.7035014
40.4576223,-3.7058061
40.4617195,-3.7032129
40.4553537,-3.706679
40.4561329,-3.7033125
40.4561329,-3.7033125
40.4597994,-3.7022828
40.457765,-3.7041501
40.4566789,-3.7066758
40.4595179,-3.7054007
40.4568251,-3.7035418
40.4555961,-3.7130866
40.4585495,-3.7075855
40.4511912,-3.708354
40.453451,-3.7083798
40.4461034,-3.7061305
40.4523583,-3.7103932
40.4505345,-3.7053996
40.4533876,-3.7064221
40.4461281,-3.7088919
40.447851,-3.7040621
40.4471209,-3.7049489
40.4498046,-3.7087476
40.4471209,-3.7049489
40.4541876,-3.7071221
40.4470281,-3.7106919
40.4519991,-3.7060546
40.453451,-3.7083798
40.4512022,-3.7093453
40.4471981,-3.7048111
40.4529318,-3.7083154
40.4461117,-3.7072077
40.4461117,-3.7072077
40.4384002,-3.7082182
40.4449698,-3.7122409
40.4425323,-3.714175
