,propertyCode,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,newDevelopment,latitude,longitude,showAddress,url,description,status,newDevelopment,priceByArea,detailedType,suggestedTexts,hasPlan,topNewDevelopment,superTopHighlight,floor,hasLift,parkingSpace,dType,SubdType,dsugTextTit,dsugTexsubtit,dhasParking,dParkingIncl
0,97392656,479000.0,flat,sale,84.0,True,2,2,barrio Peñagrande,Madrid,Madrid,Fuencarral,es,False,40.4741763,-3.7185239,False,https://www.idealista.com/inmueble/97392656/,"DE SALAS. REF. MIV01885. En EXCLUSIVA, les presentamos este impecable piso en Peñagrande de 84 m² construidos, ubicada en una urbanización de lujo rematada con los mejores materiales, con piscina, zona infantil y pádel. Dispone de 2 habitaciones, 2 baños, garaje y trastero. La finca dispone de Vigilancia 24 horas. DISTRIBUCION El hall, con buen armario para abrigos, da acceso a través de una puerta al salón-comedor con ventana balconada y amplitud de vistas. Por otra puerta se accede a la funcional cocina con barra. Al fondo, está el tendedero cerrado. Un pasillo nos lleva a los 2 dormitorios: el principal con el baño en suite con bañera de hidromasaje. En el segundo dormitorio caben dos camas. El 2º baño dispone de ducha. La plaza de garaje es amplia y de fácil maniobra. La urbanización dispone de zonas comunes dotadas de piscina exterior, zona infantil, pista de pádel. En una sala para cumpleaños se dan clases de gimnasia.  La vivienda está ubicada en una zona tranquila, con comercio de proximidad. El Centro Comercial La Vaguada queda a 10 minutos andando. En cuanto a comunicaciones dispone de Metro cercano (Línea 7) y a un minuto de las paradas de autobús de las líneas 42, 127, 132 y 137 y próxima a la M-30 y M-40  Calidades: Paredes lisas. Carpintería exterior Technal. Suelos de tarima y plaqueta en cocina y baños. Aire acondicionado centralizado, por conductos, en todas las habitaciones. Persiana del salón motorizado. Agua caliente y calefacción individual programable por gas natural (caldera Vaillant). Dispone de 1 plaza de garaje incluida en el precio y trastero. MUCHAS DE NUESTRAS PROPIEDADES NO APARECEN EN IDEALISTA. CONSULTE EN NUESTRA PÁGINA WEB DE “De Salas”, PARA VER MÁS VIVIENDAS EN EXCLUSIVA.",good,False,5702.0,{'typology': 'flat'},"{'subtitle': 'Peñagrande, Madrid', 'title': 'Piso'}",True,False,False,4,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",flat,,Piso,"Peñagrande, Madrid",True,True
1,100340472,760000.0,penthouse,sale,154.0,True,4,3,barrio Peñagrande,Madrid,Madrid,Fuencarral,es,False,40.4730117,-3.7212068,False,https://www.idealista.com/inmueble/100340472/,"Ático-dúplex en venta en Peñagrande. ÁTICO-DÚPLEX EXTERIOR CON TERRAZA EN URBANIZACIÓN CON PISCINA Y PLAZA DE GARAJE EN PEÑAGRANDE. Magnífico y luminoso ático-dúplex exterior de 4 dormitorios, 2 baños, 1 aseo de cortesía, estancia para almacenaje y una fabulosa terraza. Incluye una plaza de garaje con acceso directo en ascensor y un trastero. En urbanización cerrada con piscina, pádel, zona infantil y salón social, con vigilancia 24 horas. Con 154 m² construidos, según catastro, de los cuales corresponden a vivienda 122 m² y 28 m² de terraza de uso privativo. La parte superior de la vivienda consta de salón-comedor, cocina amueblada y equipada con electrodomésticos, tendedero y un aseo de cortesía. Bajando unas escaleras de mármol, se accede a la parte inferior de la vivienda, con cuatro dormitorios y dos baños completos, uno de ellos en suite y bañera de hidromasaje. Cuenta además con una estancia de almacenaje. Con suelo de tarima de madera en toda la vivienda. Aire acondicionado. Calefacción y agua sanitaria son por gas natural individual. En la cubierta de la finca hay placas solares para el agua caliente. Cuenta con sistema de alarma contraincendios. Toda la vivienda está orientada al Este, a excepción de la cocina y una de las habitaciones, que dan al Sur. En muy buen estado, para entrar a vivir. Posibilidad de adquirir una segunda plaza de garaje, contigua a la que se incluye con la vivienda. Estupenda ubicación, en el barrio de Peñagrande, situado en el Norte de Madrid, entre Puerta de Hierro y Mirasierra, dentro de la almendra-M30. A 5 minutos andando de la estación de metro (línea 7) y con paradas de autobuses prácticamente en la puerta, que conectan con diferentes zonas de Madrid, incluido nocturnos. Muy cerca de colegios, universidades (Instituto de Empresa), hospitales y clínicas (La Paz, Ramón y Cajal, Ruber Internacional, Centro), residencias de mayores (Los Nogales-Puerta de Hierro, Ballesol), grandes superficies (La Vaguada), gimnasios (GoFit) y variedad de supermercados. A 10 minutos en coche de la Estación de Tren Chamartín y a 15 minutos del Aeropuerto. Grandes zonas verdes en la zona (El Pardo, Dehesa de la Villa). ¿Te imaginas vivir aquí?",good,False,4935.0,"{'typology': 'flat', 'subTypology': 'penthouse'}","{'subtitle': 'Peñagrande, Madrid', 'title': 'Ático'}",True,False,False,5,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",flat,penthouse,Ático,"Peñagrande, Madrid",True,True
2,101481291,700000.0,flat,sale,178.0,True,3,2,Calle de Cándido Mateos,Madrid,Madrid,Fuencarral,es,False,40.4724408,-3.7166377,False,https://www.idealista.com/inmueble/101481291/,"¡ESPECTACULAR VIVIENDA EN UNA DE LAS MEJORES ZONAS DE MADRID! Exclusividad, diseño y comodidad. Una casa pensada para ser disfrutada, con todos los detalles cuidados al máximo. La vivienda cuenta con 110 metros útiles, que en su origen contaba con 3 dormitorios y en la actualidad, son 2 habitaciones, siendo la habitación principal la joya de esta casa. Los metros de la vivienda se encuentran aprovechados al máximo, ofreciéndote una sensación de amplitud y luz que no querrás salir de ella. El acceso a la vivienda nos recibe un bonito y acogedor hall, desde el cual nos reparte a una espectacular cocina, amueblada y equipada con todos los electrodomesticos de alta gama. Entre los que cabe destacar una maravillosa vinoteca, lavavajillas, lavadora y secadora de la marca Miele, una nevera doble y un congelador completo. Además, la cocina cuenta con acceso a un tendedero, por lo que el almacenaje y la comodidad están asegurados. El salón es una maravilla, tanto por su diseño, su distribución y su luz, con cerca de 26 metros, cuenta con dos zonas diferenciadas, la zona de estar y descanso y una zona de comedor, además nos ofrece una maravillosa terraza, con un diseño espectacular y un cuidado juego de luces para amenizar las cenas en verano y dar calidez en invierno. El acceso a los dormitorios, se encuentran totalmente separados de las zonas comunes de la casa, donde hay un baño completo con bañera, el dormitorio secundario con cerca de 11metros, un ventanal precioso y un amplio armario empotrado. El dormitorio principal es la señal que necesitas para querer esta casa, es una autentica maravilla. Al haber incorporado la tercera habitación, la principal ha ganado en amplitud y comodidad. Cuenta con una zona muy amplia como descanso, pensado para tener una zona en exclusiva como zona de trabajo, un increíble vestidor y una pared completa aprovechada como armario empotrado. El baño en suite es precioso, cómodo y amplio. A destacar la vivienda: Casa construida en el año 2018, reforma pensada y cuidada al detalle, vivienda completamente domotizada, pudiendo escoger la temperatura de cada estancia a gusto personal. Aire acondicionado por conducto, suelo radiante porcelánico. La vivienda incluye una plaza de garaje grande con acceso directo y un trastero privado de unos 7 metros. La finca cuenta con todo lo que necesitas, es una urbanización jóven, con unos preciosos jardines, zonas de juego pensadas para los más pequeños, una piscina genial gracias a su orientación para disfrutarla todo el verano, sala de reuniones, seguridad privada 24 horas al día. La zona tiene todos los servicios necesarios, farmacia, supermercados a menos de 3 minutos andando, centro de salud, gran oferta de colegios tanto públicos como privados, transporte publico en la misma puerta y a 5 minutos andando del metro Valdezarza (línea 7) Acceso directo a tan solo 5 minutos del corazón financiero de la capital a través del túnel de Sor Angela de la Cruz. Fácil acceso a la M30 y M40, en definitiva, vivir en una zona residencial pero contando todas las facilidades. Electrodomésticos Miele lavadora y secadora nevera entera doble y vinoteca.",good,False,3933.0,{'typology': 'flat'},"{'subtitle': 'Peñagrande, Madrid', 'title': 'Piso en Calle de Cándido Mateos'}",True,False,False,1,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",flat,,Piso en Calle de Cándido Mateos,"Peñagrande, Madrid",True,True
3,101181100,390000.0,flat,sale,126.0,True,4,2,barrio Peñagrande,Madrid,Madrid,Fuencarral,es,False,40.4739171,-3.7200735,False,https://www.idealista.com/inmueble/101181100/,"MÁGNIFICO PISO EXTERIOR CON TERRAZA UBICADO EN UNA DE LAS MEJORES ZONAS RESIDENCIALES DE MADRID La Casa Agency te presenta esta espectacular vivienda de 126mts cuadrados en zona de Peñagrande en el distrito de Fuencarral - el Pardo, situada a tan solo de 5 minutos de Plaza Castilla, totalmente residencial rodeado de parques y tranquilidad. El inmueble esta distribuido en un amplio salón comedor que consta de una cómoda terraza donde puedes disfrutar de los jardines de la comunidad; 4 dormitorios que disponen de armarios empotrados, uno de ellos con baño en suite; cocina independiente con terraza al patio interior que sirve como almacenaje; y un segundo cuarto de baño. La vivienda se completa con un amplio trastero en la última planta del edificio; además de una plaza de garaje incluida en el precio.",renew,False,3095.0,{'typology': 'flat'},"{'subtitle': 'Peñagrande, Madrid', 'title': 'Piso'}",True,False,False,bj,True,,flat,,Piso,"Peñagrande, Madrid",,
4,101308619,530000.0,flat,sale,113.0,True,3,2,Calle de Juan Sánchez,Madrid,Madrid,Fuencarral,es,False,40.4740656,-3.7195066,False,https://www.idealista.com/inmueble/101308619/,"31Real Servicios Inmobiliarios vende; VIVIENDA DE 3 HABITACIONES, 2 BAÑOS, PLAZA DE GARAJE Y TRASTERO EN URBANIZACIÓN CON PISCINA Y PÁDEL. La vivienda cuenta con 87m2, que se distribuye de la siguiente manera;  Amplio recibidor con dos armarios empotrados. Cocina alargada y equipada, además cuenta con un gran tendedero que puede darse como utilidad también de una gran zona de despensa.  Salón amplio con dos zonas divididas como zona de descanso y de estar y la zona de comedor.  2 baños completos con plato de ducha, uno de ellos dentro de la suite y exterior. Platos de ducha y lavabos reformados.  La vivienda cuenta con 3 dormitorios, todos ellos amplios, totalmente exteriores y con armarios empotrados.  A destacar de la vivienda: puertas cambiadas lacadas en blanco, armarios de todas las estancias completamente reformados, ventanas dobles y oscilovatientes, suelo en buen estado de conservación, acuchillado y barnizado. Distribución modificada para aprovechar al máximo todos los espacios. La vivienda cuenta con aire acondicionado por conductos en todas las estancias. Todo exterior y con orientación suroeste.  La finca es una de las más exclusivas de Peñagrande, se trata de una urbanización residencial y familiar, con placas solares en el edificio lo que consigues un ahorro importante, con seguridad privada 24 horas. Piscina con amplios jardines, parque infantil, pista de pádel y sala multiusos. PLAZA DE GARAJE Y TRASTERO incluido en el precio.  La zona donde se encuentra ubicada esta preciosa vivienda en Peñagrande es en una zona residencial con todos los servicios a tu alcance, rodeada de parques, zonas verdes, supermercado Carrefour, Opencor, gran oferta de hostelería, el centro de salud Castroviejo a 2 minutos andando, gran variedad educativa, tanto de centros públicos, como concertados y privados. El transporte público es ideal, metro línea 7 a 5 minutos andando, distintos autobuses directos a plaza de castilla y Callao y autobús nocturno en la misma puerta. La comunicación en transporte privado es cómoda y accesible, tienes a un paso las dos carreteras principales de la capital M30 y M40. ¡VISITA CON NOSTROS! - DE MADRID AL CIELO, PERO ANTES, PASAMOS POR PEÑAGRANDE!",good,False,4690.0,{'typology': 'flat'},"{'subtitle': 'Peñagrande, Madrid', 'title': 'Piso en Calle de Juan Sánchez'}",True,False,False,1,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",flat,,Piso en Calle de Juan Sánchez,"Peñagrande, Madrid",True,True
5,101309652,249900.0,flat,sale,55.0,True,2,1,barrio Pilar,Madrid,Madrid,Fuencarral,es,False,40.4719979,-3.7150168,False,https://www.idealista.com/inmueble/101309652/,"CUARTA PLANTA EXTERIOR! A ESTRENAR CON DOS HABITACIONES Y TERRAZA REFORMADO A ESTRENAR, SEMIAMUEBLADO CON COCINA AMUEBLADA Y EQUIPADA EN PLENO CENTRO DEL BARRIO DEL PILAR MUY CERCA DE TODOS LOS SERVICIOS HOOME SOLUCIONES INMOBILIARIAS TE OFRECE LA POSIBILIDAD de comprar una vivienda en una de las aéreas más demandadas y populares de Madrid, El BARRIO DEL PILAR. Podrás disfrutar de una de las mejores zonas residenciales de Madrid, enmarcada entre principales vías de acceso a la Capital, El paseo de la Castellana, Sor Ángela de la Cruz, la Avenida Cardenal Herrera Oria, Avenida de la Ilustración o Francos Rodríguez.  Finca con ascensor en buen estado edificada en 1964, con la ITE favorable. Una 2ª planta exterior con mucha luz. Dispone de una distribución muy funcional, que nos ofrece un hall de entrada, amplio y luminoso salón exterior con terraza, 2 dormitorios, uno de ellos doble, cocina semi independiente y un baño completo con plato de ducha y mampara. Todas las estancias tienen ventana por lo que podemos disfrutar de ventilación cruzada.  Se encuentra a escasos metros de uno de los pulmones de Madrid, el Parque de La Alcazaba y el Parque de Agustín Rodríguez Sahagún, y muy cerca del Centro Comercial de La Vaguada.  Si lo que buscas es una buena inversión, aquí obtendrás mas de un 4 %, gracias a sus bajos costes de comunidad, 50 € e IBI 260 € y la alta demanda de alquiler.  En cuanto a las comunicaciones, tiene todas las facilidades tanto públicas como privadas: – Metro: Peñagrande (L 7) a 5 minutos caminando o Metro Barrio del Pilar – Si prefieres moverte en autobús, puedes llegar directo al centro de Madrid. Líneas de autobuses más cercanas: 42, 49, 126, 128 y N22. Si nos movemos en coche, accedemos directamente a Plaza de Castilla en 5 minutos bajando por La calle Sinesio Delgado y la Avenida de Asturias. Si tienes problemas con la financiación o quieres mejores condiciones consulta a nuestro departamento financiero.  No dude en contactar con nuestros asesores y planificar su visita a su futuro hogar.  Consúltenos mediante vía telefónica correo a o a través de nuestro formulario de contacto en hoome. com. es.",good,False,4544.0,{'typology': 'flat'},"{'subtitle': 'Pilar, Madrid', 'title': 'Piso'}",True,False,False,4,True,,flat,,Piso,"Pilar, Madrid",,
6,101127884,420000.0,flat,sale,88.0,True,2,2,barrio Valdezarza,Madrid,Madrid,Moncloa,es,False,40.4681642,-3.7158708,False,https://www.idealista.com/inmueble/101127884/,"¡MAGNÍFICA OPORTUNIDAD! PRECIOSO E IMPECABLE PISO PARA ENTRAR A VIVIR, CON 2 DORMITORIOS, 2 BAÑOS, PISCINA, TRASTERO Y PLAZA DE GARAJE. Si eres AMANTE DE LA NATURALEZA, en esta zona tranquila y muy familiar podrás disfrutar de la emblemática DEHESA DE LA VILLA, una joya dentro de todos los parques de Madrid que mantiene intacta su condición de bosque.  Al 2 minutos andando del Metro Antonio Machado, acceso directo con la M-30 y 5 minutos en coche del Paseo de la castellana. El Barrio de Peñagrande ofrece todos los servicios necesarios: supermercados, parques, bancos, farmacias, bibliotecas, colegios, institutos, centro de salud, etc.  La vivienda, TOTALMENTE EXTERIOR, con AIRE ACONDICIONADO DOMOTIZADO en todas las habitaciones, se distribuye de la siguiente manera: ZONA DE DÍA: A través de la puerta blindada, nos da la bienvenida un acogedor VESTÍBULO con suelos de tarima flotante, puertas de madera lacadas en blanco y armario empotrado.  SALON-COMEDOR: A la derecha de la puerta de entrada, accedemos aun precioso salón-comedor independiente de 18 m2 aprox. con orientación noreste y amplios ventanales oscilobatientes con cortinas a medida y persiana eléctrica. COCINA: Desde el salón accedemos a una coqueta cocina independiente totalmente equipada y con tendedero.  ZONA DE NOCHE: Desde el vestíbulo accedemos al pasillo que no da paso a los 2 dormitorios y 2 baños: DORMITORIO 1:  A la izquierda encontramos una primera habitación, con orientación noreste; tiene 8 m2 y cuenta con un ARMARIO EMPOTRADO totalmente vestido. En frente de este dormitorio se encuentra un precioso BAÑO COMPLETO, con BAÑERA. Todos los sanitarios son de la marca ROCA. DORMITORIO 2:  Es el dormitorio principal y orientación noreste. Cuenta con gran armario empotrado y su BAÑO COMPLETO, con CABINA DE DUCHA-LLUVIA. Todos los sanitarios de la marca ROCA. Una vivienda para entrar a vivir y llena de detalles que te harán disfrutar y relajarte al llegar a tu hogar. En el precio está INCLUIDO TRASTERO Y UNA PLAZA DE GARAJE. TERMINACIONES: Edificio construido en 2015. Puerta de Seguridad. Suelos de tarima flotante. Paredes lisas. Techos altos. Carpintería interior de madera lacada en blanco. Carpintería exterior de Climalit de dobles ventanas oscilobatientes.  Cocina equipada. Calefacción gas natural domotizada. Paneles solares térmicos. ZONAS COMUNES: Ascensor. Zonas ajardinadas e infantiles. Piscina exterior climatizada. Excelente mantenimiento de las áreas comunes.  Óptima comunicación por transporte público, con varias líneas de autobuses, Red de Metro a escasos minutos andando, parada de taxis y fácil y rápido acceso a toda la red de las principales carreteras.  Reserva ya tu visita. Estaré ENCANTADA DE RECIBIRTE (las citas se organizarán en riguroso orden de llamadas). *** NO COBRAMOS HONORARIOS A LOS COMPRADORES*** ** La información que se detalla en este anuncio, se muestra a título informativo, no es contractual ni vinculante y puede contener errores**.",good,False,4773.0,{'typology': 'flat'},"{'subtitle': 'Valdezarza, Madrid', 'title': 'Piso'}",False,False,False,1,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",flat,,Piso,"Valdezarza, Madrid",True,True
7,100070468,780000.0,flat,sale,207.0,True,3,2,barrio Peñagrande,Madrid,Madrid,Fuencarral,es,False,40.4690952,-3.7168392,False,https://www.idealista.com/inmueble/100070468/,"Magnifico piso seminuevo en Peñagrande, orientado al sur, de 207 m² catastrales en urbanización con piscina, gimnasio, sala de eventos y pádel. Dispone de 3 dormitorios, 2 baños, terraza, trastero, 2 plazas de garaje y seguridad 24 Horas. Lista para entrar a vivir.  Descripción  Nos recibe un hall abierto al salón con un frontal de armario para abrigos. El salón-comedor tiene salida a una agradable terraza con balconada de cristal y césped artificial. La cocina en isla está abierta al salón, aunque se podría dividir fácilmente con pared de cristal. Todos los electrodomésticos Siemens de alta calidad están encastrados en el mobiliario de Gunni & Trentino, excepto la fabulosa nevera americana Neff. Una terraza tendedero integrada completa la cocina con la zona de lavado. El pasillo nos lleva a la zona de noche. Allí encontramos 2 habitaciones con tres cuerpos de armarios empotrados cada una. Estos dos dormitorios comparten un baño con bañera. A continuación, está el dormitorio principal que dispone de closet de vestidor de gran capacidad y un baño en suite con ducha.  Esta vivienda disfruta de dos amplias plazas de garaje muy cercanas al ascensor y con preinstalación para cargador eléctrico. Un trastero con baldas y armario. Aire acondicionado por conductos y calefacción por suelo radiante  La urbanización es inmejorable y dispone de piscina de cloración salina, pista de padel, sala de eventos, ping-pong, futbolín y zona de juegos infantiles exterior. Lista para entrar a vivir incluso con mobiliario opcional  Aire Acondicionado por conductos  Calefacción por suelo radiante  Domótica, persianas motorizadas en salón  Conserje 24 h - 365 días.  VMRC, ventilación mecánica individual con recuperación de calor  Citibox a la entrada de la urbanización Suelos de Porcelanosa y Saloni en baños.",good,False,3768.0,{'typology': 'flat'},"{'subtitle': 'Peñagrande, Madrid', 'title': 'Piso'}",True,False,False,1,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",flat,,Piso,"Peñagrande, Madrid",True,True
8,101213707,550000.0,flat,sale,147.0,True,3,2,Valle de Mena,Madrid,Madrid,Moncloa,es,False,40.4701563,-3.7143413,False,https://www.idealista.com/inmueble/101213707/,"¡NO COBRAMOS AL COMPRADOR! Estate One ofrece este impecable piso del tamaño mas grande de una mancomunidad de 4 portales y un total de 20 vecinos por bloque. Es una tercera planta luminosa, con vistas despejadas y orientación noreste. Se compone de hall de entrada, tres dormitorios y dos cuartos de baño, el principal en suite. Salón-comedor, cocina independiente, totalmente equipada y tendedero aparte. Bonito y cuidado jardín y piscina (con socorrista), 1 plaza de garaje con cargador para coche eléctrico y trastero de 8m2. Sala común para cualquier celebración.  Consta de placas solares, para acumulación de agua de mayo a septiembre. Calefacción individual por gas natural y aire acondicionado por splitz en salón y dormitorio principal. Persianas eléctricas. Suelos de tarima, armarios empotrados y mucha capacidad de almacenaje. Muy buena ubicación y comunicación por transporte público. Merece la pena visitar!",good,False,3741.0,{'typology': 'flat'},"{'subtitle': 'Valdezarza, Madrid', 'title': 'Piso en Valle de Mena'}",False,False,False,3,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",flat,,Piso en Valle de Mena,"Valdezarza, Madrid",True,True
9,101480124,487000.0,flat,sale,125.0,True,4,2,Calle de La Serna del Monte,Madrid,Madrid,Fuencarral,es,False,40.4733289,-3.7192527,False,https://www.idealista.com/inmueble/101480124/,"31Real Servicios Inmobiliarios vende: PISO AMPLIO, LUMINOSO Y EXTERIOR PARA REFORMAR EN PEÑAGRANDE DE 4 DORMITORIOS, TERRAZA, 2 BAÑOS, PLAZA DE GARAJE Y TRASTERO. La vivienda cuenta con 114 metros que se distribuyen en un amplio hall por el que accedemos a una cocina amueblada, además, cuenta con un gran tendedero que puede darse como utilidad también de una zona de despensa. El salón tiene la amplitud y la distribución ideal que siempre se busca, amplio y luminoso, con dos zonas divididas como zona de descanso y de estar y la zona de comedor. Tiene acceso a lo más demandado en estos tiempos, UNA TERRAZA con vistas despejadas. La vivienda cuenta con 4 dormitorios EXTERIORES y 2 baños completos con ventana, uno de ellos en suite. La capacidad de almacenaje que tiene es un valor añadido, ya que además de contar con amplios armarios empotrados en 3 de los 4 dormitorios, tenemos otro armario más en el pasillo.  La vivienda se encuentra ubicada en urbanización privada, con jardines. El portal adaptado para minusválidos con montacargas, TRASTERO y PLAZA DE GARAJE con acceso directo en ascensor, incluida en el precio! La vivienda se encuentra en una de las mejores zonas de Peñagrande, con todas las comodidades al alcance, al lado de colegios, autobuses directos a Plaza de Castilla y Moncloa, a 5 minutos del Metro Peñagrande y del Metro Antonio machado (Linea 7), Centro Comercial La Vaguada muy cerca de la vivienda y centro de Salud Doctor Castroviejo a escasos metros. Con fácil acceso directo a carreteras principales M30 y M40 a y menos de 10 minutos de Plaza de Castilla. ¡VISITA CON NOSOTROS! - DE MADRID AL CIELO, PERO ANTES, PASAMOS POR PEÑAGRANDE!",good,False,3896.0,{'typology': 'flat'},"{'subtitle': 'Peñagrande, Madrid', 'title': 'Piso en Calle de La Serna del Monte'}",True,False,False,3,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",flat,,Piso en Calle de La Serna del Monte,"Peñagrande, Madrid",True,True
