,propertyCode,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,newDevelopment,latitude,longitude,showAddress,url,description,status,newDevelopment,priceByArea,detailedType,suggestedTexts,hasPlan,topNewDevelopment,superTopHighlight,floor,hasLift,parkingSpace,dType,SubdType,dsugTextTit,dsugTexsubtit,dhasParking,dParkingIncl,Nuda
0,97392656,479000,flat,sale,84,True,2,2,barrio Peñagrande,Madrid,Madrid,Fuencarral,es,False,40.4741763,-3.7185239,False,https://www.idealista.com/inmueble/97392656/,"DE SALAS. REF. MIV01885. En EXCLUSIVA, les presentamos este impecable piso en Peñagrande de 84 m² construidos, ubicada en una urbanización de lujo rematada con los mejores materiales, con piscina, zona infantil y pádel. Dispone de 2 habitaciones, 2 baños, garaje y trastero. La finca dispone de Vigilancia 24 horas. DISTRIBUCION El hall, con buen armario para abrigos, da acceso a través de una puerta al salón-comedor con ventana balconada y amplitud de vistas. Por otra puerta se accede a la funcional cocina con barra. Al fondo, está el tendedero cerrado. Un pasillo nos lleva a los 2 dormitorios: el principal con el baño en suite con bañera de hidromasaje. En el segundo dormitorio caben dos camas. El 2º baño dispone de ducha. La plaza de garaje es amplia y de fácil maniobra. La urbanización dispone de zonas comunes dotadas de piscina exterior, zona infantil, pista de pádel. En una sala para cumpleaños se dan clases de gimnasia.  La vivienda está ubicada en una zona tranquila, con comercio de proximidad. El Centro Comercial La Vaguada queda a 10 minutos andando. En cuanto a comunicaciones dispone de Metro cercano (Línea 7) y a un minuto de las paradas de autobús de las líneas 42, 127, 132 y 137 y próxima a la M-30 y M-40  Calidades: Paredes lisas. Carpintería exterior Technal. Suelos de tarima y plaqueta en cocina y baños. Aire acondicionado centralizado, por conductos, en todas las habitaciones. Persiana del salón motorizado. Agua caliente y calefacción individual programable por gas natural (caldera Vaillant). Dispone de 1 plaza de garaje incluida en el precio y trastero. MUCHAS DE NUESTRAS PROPIEDADES NO APARECEN EN IDEALISTA. CONSULTE EN NUESTRA PÁGINA WEB DE “De Salas”, PARA VER MÁS VIVIENDAS EN EXCLUSIVA.",good,False,5702,{'typology': 'flat'},"{'subtitle': 'Peñagrande, Madrid', 'title': 'Piso'}",True,False,False,4,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",flat,,Piso,"Peñagrande, Madrid",True,True,0
1,101032420,279000,flat,sale,57,True,1,1,Calle de La Hiruela,Madrid,Madrid,Fuencarral,es,False,40.474117,-3.7172501,False,https://www.idealista.com/inmueble/101032420/,"EXTRA Inmobiliaria vende excelente piso exterior y luminoso, situado en una quinta planta con ascensores y terraza acristalada. La distribución actual cuenta con una habitación doble con vistas al exterior, amplio salón exterior y cocina abierta equipada, baño completo.   Tiene calefacción por conducto, bomba de frío/calor. Cabe destacar que el piso es muy luminoso gracias a su orientación y a la altura que tiene.   La finca es del 1993 y cuenta con 8 ascensores en el portal, además de portero físico.    Gracias a su ubicación, el piso es ideal para vivir o como inversión. El piso tiene una plaza de garaje incluida en el precio con acceso desde la misma finca. Buenas comunicaciones con transporte público: metro estaciones Peñagrande y Antonio Machado y líneas de autobuses.",good,False,4895,{'typology': 'flat'},"{'subtitle': 'Peñagrande, Madrid', 'title': 'Piso en Calle de La Hiruela'}",True,False,False,5,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",flat,,Piso en Calle de La Hiruela,"Peñagrande, Madrid",True,True,0
2,101181100,390000,flat,sale,126,True,4,2,Calle de La Serna del Monte,Madrid,Madrid,Fuencarral,es,False,40.4739171,-3.7200735,False,https://www.idealista.com/inmueble/101181100/,"MÁGNIFICO PISO EXTERIOR CON TERRAZA, UBICADO EN UNA DE LAS MEJORES ZONAS RESIDENCIALES DE MADRID. La Casa Agency te presenta esta espectacular vivienda de 126mts cuadrados en zona de Peñagrande en el distrito de Fuencarral - el Pardo, situada a tan solo de 5 minutos de Plaza Castilla, totalmente residencial rodeado de parques y tranquilidad. Esta distribuida en un amplio salón comedor que consta de una cómoda terraza donde puedes disfrutar de los jardines de la comunidad; 4 dormitorios que disponen de armarios empotrados, uno de ellos con baño en suite; cocina independiente con terraza al patio interior que sirve como almacenaje; y un segundo cuarto de baño. La vivienda se completa con un amplio trastero en la última planta del edificio; además de una plaza de garaje incluida en el precio.",renew,False,3095,{'typology': 'flat'},"{'subtitle': 'Peñagrande, Madrid', 'title': 'Piso en Calle de La Serna del Monte'}",True,False,False,bj,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",flat,,Piso en Calle de La Serna del Monte,"Peñagrande, Madrid",True,True,0
3,101557159,675000,penthouse,sale,133,True,3,3,Calle de Juan Sánchez,Madrid,Madrid,Fuencarral,es,False,40.4736646,-3.7214346,False,https://www.idealista.com/inmueble/101557159/,"31Real Servicios Inmobiliarios VENDE:  ÁTICO DUPLEX DE 3 HABITACIONES, DOS BAÑOS, UN ASEO, PLAZA DE GARAJE Y TRASTERO.  Vivienda de 120 metros2 que se distribuyen en dos plantas; En la primera planta nos encontramos con un aseo de cortesía, una cocina amplia y reformada y un salón con doble estancia, la zona de estar y la zona del comedor. Desde el salón se accede también a una impresionante TERRAZA, para disfrutarla todos los días del año. En la planta baja nos encontramos con la zona de descanso, en el pasillo hay otro armario empotrado más, por lo que la capacidad de almacenaje de esta vivienda se encuentra pensada al detalle. 2 baños completos, uno de ellos en suite, con ventana y con bañera de hidromasaje. La vivienda cuenta con 3 dormitorios, todos ellos amplios, totalmente exteriores y con armarios empotrados.  A destacar de la vivienda: puertas de madera, paredes lisas, doble ventana oscilovatientes en las habitaciones, suelo de tarima y la planta baja cuenta con aire acondicionado por conducto en todas las estancias. La orientación de toda la casa es la deseada por todos; salón y dos habitaciones ESTE, cocina y tercera habitación SUR por lo que la luz natural la tendrás siempre asegurada. La finca es una de las más exclusivas de Peñagrande, se trata de una urbanización residencial y familiar, con placas solares en el edificio lo que consigues un ahorro importante, con seguridad privada 24 horas. Piscina con amplios jardines, parque infantil, pista de pádel y sala multiusos. PLAZA DE GARAJE GRANDE Y TRASTERO incluido en el precio, además hay posibilidad de adquirir una segunda plaza en la misma finca. La zona donde se encuentra ubicada esta preciosa vivienda en Peñagrande es en una zona residencial con todos los servicios a tu alcance, rodeada de parques, zonas verdes, supermercado Carrefour, Opencor, gran oferta de hostelería, el centro de salud Castroviejo a 2 minutos andando, gran variedad educativa, tanto de centros públicos, como concertados y privados. El transporte público es ideal, metro línea 7 a 3 minutos andando, distintos autobuses directos a plaza de castilla y Callao y autobús nocturno en la misma puerta. La comunicación en transporte privado es cómoda y accesible, tienes a un paso las dos carreteras principales de la capital M30 y M40. ¡VISITA CON NOSTROS! - DE MADRID AL CIELO, PERO ANTES, PASAMOS POR PEÑAGRANDE!",good,False,5075,"{'typology': 'flat', 'subTypology': 'penthouse'}","{'subtitle': 'Peñagrande, Madrid', 'title': 'Ático en Calle de Juan Sánchez'}",True,False,False,5,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",flat,penthouse,Ático en Calle de Juan Sánchez,"Peñagrande, Madrid",True,True,0
4,101629633,670000,flat,sale,178,True,3,2,Calle de Cándido Mateos,Madrid,Madrid,Fuencarral,es,False,40.4724482,-3.717192,False,https://www.idealista.com/inmueble/101629633/,"¡ESPECTACULAR VIVIENDA EN UNA DE LAS MEJORES ZONAS DE MADRID! Exclusividad, diseño y comodidad. Una casa pensada para ser disfrutada, con todos los detalles cuidados al máximo. La vivienda cuenta con 110 metros útiles, que en su origen contaba con 3 dormitorios y en la actualidad, son 2 habitaciones, siendo la habitación principal la joya de esta casa. Los metros de la vivienda se encuentran aprovechados al máximo, ofreciéndote una sensación de amplitud y luz que no querrás salir de ella. El acceso a la vivienda nos recibe un bonito y acogedor hall, desde el cual nos reparte a una espectacular cocina, amueblada y equipada con todos los electrodomesticos de alta gama. Entre los que cabe destacar una maravillosa vinoteca, lavavajillas, lavadora y secadora de la marca Miele, una nevera doble y un congelador completo. Además, la cocina cuenta con acceso a un tendedero, por lo que el almacenaje y la comodidad están asegurados. El salón es una maravilla, tanto por su diseño, su distribución y su luz, con cerca de 26 metros, cuenta con dos zonas diferenciadas, la zona de estar y descanso y una zona de comedor, además nos ofrece una maravillosa terraza, con un diseño espectacular y un cuidado juego de luces para amenizar las cenas en verano y dar calidez en invierno. El acceso a los dormitorios, se encuentran totalmente separados de las zonas comunes de la casa, donde hay un baño completo con bañera, el dormitorio secundario con cerca de 11metros, un ventanal precioso y un amplio armario empotrado. El dormitorio principal es la señal que necesitas para querer esta casa, es una autentica maravilla. Al haber incorporado la tercera habitación, la principal ha ganado en amplitud y comodidad. Cuenta con una zona muy amplia como descanso, pensado para tener una zona en exclusiva como zona de trabajo, un increíble vestidor y una pared completa aprovechada como armario empotrado. El baño en suite es precioso, cómodo y amplio. A destacar la vivienda: Casa construida en el año 2018, reforma pensada y cuidada al detalle, vivienda completamente domotizada, pudiendo escoger la temperatura de cada estancia a gusto personal. Aire acondicionado por conducto, suelo radiante porcelánico. La vivienda incluye una plaza de garaje grande con acceso directo y un trastero privado de unos 7 metros. La finca cuenta con todo lo que necesitas, es una urbanización jóven, con unos preciosos jardines, zonas de juego pensadas para los más pequeños, una piscina genial gracias a su orientación para disfrutarla todo el verano, sala de reuniones, seguridad privada 24 horas al día. La zona tiene todos los servicios necesarios, farmacia, supermercados a menos de 3 minutos andando, centro de salud, gran oferta de colegios tanto públicos como privados, transporte publico en la misma puerta y a 5 minutos andando del metro Valdezarza (línea 7) Acceso directo a tan solo 5 minutos del corazón financiero de la capital a través del túnel de Sor Angela de la Cruz. Fácil acceso a la M30 y M40, en definitiva, vivir en una zona residencial pero contando todas las facilidades. Electrodomésticos Miele lavadora y secadora nevera entera doble y vinoteca.",good,False,3764,{'typology': 'flat'},"{'subtitle': 'Peñagrande, Madrid', 'title': 'Piso en Calle de Cándido Mateos'}",True,False,False,1,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",flat,,Piso en Calle de Cándido Mateos,"Peñagrande, Madrid",True,True,0
5,101213707,500000,flat,sale,147,True,3,2,Valle de Mena,Madrid,Madrid,Moncloa,es,False,40.4701563,-3.7143413,False,https://www.idealista.com/inmueble/101213707/,"¡NO COBRAMOS AL COMPRADOR! Estate One ofrece este impecable piso del tamaño mas grande de una mancomunidad de 4 portales y un total de 20 vecinos por bloque. Es una tercera planta luminosa, con vistas despejadas y orientación noreste. Se compone de hall de entrada, tres dormitorios y dos cuartos de baño, el principal en suite. Salón-comedor, cocina independiente, totalmente equipada y tendedero aparte. Bonito y cuidado jardín y piscina (con socorrista), 1 plaza de garaje con cargador para coche eléctrico y trastero de 8m2. Sala común para cualquier celebración.  Consta de placas solares, para acumulación de agua de mayo a septiembre. Calefacción individual por gas natural y aire acondicionado por splitz en salón y dormitorio principal. Persianas eléctricas. Suelos de tarima, armarios empotrados y mucha capacidad de almacenaje. Muy buena ubicación y comunicación por transporte público. Merece la pena visitar!",good,False,3401,{'typology': 'flat'},"{'subtitle': 'Valdezarza, Madrid', 'title': 'Piso en Valle de Mena'}",False,False,False,3,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",flat,,Piso en Valle de Mena,"Valdezarza, Madrid",True,True,0
6,101564445,579900,flat,sale,140,True,3,2,Calle del Doctor Ramón Castroviejo,Madrid,Madrid,Fuencarral,es,False,40.4722605,-3.7246026,False,https://www.idealista.com/inmueble/101564445/,"JRK les presenta este magnifica propiedad en una de las mejores zona del barrio del Pilar. Edificio bonito, con piscina, zonas comunes y acceso directo al garaje.  Se trata de una vivienda de 140m2 que como ven en las fotos esta para entrar a vivir. Inicialmente la vivienda tenia 4 habitaciones pero la propiedad decidió dejarla en 3 habitaciones y sacar una grandísima cocina con office. Según entramos en la vivienda, encontramos un amplio hall-recibidor, a mano derecha tenemos la cocina totalmente amueblada, con office para poder hacer vida en la misma y una pequeña terraza que hace de tendedero y cuarto de lavandería. Avanzamos por el hall y justo enfrente tenemos el imponente salón comedor con una luz natural que permanece casi todos el día en esta estancia. El salón esta delimitado por una zona de comedor, zona de televisión y zona de teletrabajo.  Salimos del salón y tenemos un pasillo que hace de distribuidor hacia las habitaciones.  A mano izquierda tenemos la primera habitación con armario empotrado y espacio para poner una cama doble. Avanzamos por el pasillo y mano derecha tenemos un cuarto de baño completo que da servio a la primera habitación descrita y a la siguiente que esta justo ala lado del baños. Esta habitación tiene muy buen tamaño, con orientación sur, gran armario empotrado y espacio para poner dos camas individuales. La master suite se compone habitación doble y cuarto de baño completo con plato de ducha. (Reformado hace poco mas de dos años). La propiedad incluye una plaza de gran tamaño con acceso directo. Las zonas comunes se componen de una gran pradera con césped, piscina de agua salada y un parque infantil. La comunicación con la M3O es inmediata, el túnel de Sor Angela de la cruz lo tenemos a 5 minutos en coche.  Gimnasio, restaurantes, supermercados, La vaguada tan solo 10 minutos andando.",good,False,4142,{'typology': 'flat'},"{'subtitle': 'Peñagrande, Madrid', 'title': 'Piso en Calle del Doctor Ramón Castroviejo'}",True,False,False,3,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",flat,,Piso en Calle del Doctor Ramón Castroviejo,"Peñagrande, Madrid",True,True,0
7,99152656,850000,penthouse,sale,127,True,2,2,Calle de Buitrago del Lozoya,Madrid,Madrid,Fuencarral,es,False,40.471941,-3.7197305,False,https://www.idealista.com/inmueble/99152656/,"^**^FABULOSO ÁTICO DE LUJO CON 2 TERRAZAS, PLAZA DE GARAJE Y TRASTERO^**^ Espectacular Ático de lujo en unas de las mejores zonas de Madrid que combina la tranquilidad con todos los servicios cerca.  Esta propiedad destaca por las maravillosas vistas que se puedan apreciar desde su mas de 70 metros cuadrados de terraza.  El piso se distribuye en dos dormitorios ambos con baño en suite, cocina, salón comedor con salida directa a una terraza de mas de 30 metros cuadrados, todo ellos con las mejores calidades y domótica.  Y para los amantes del deporte la urbanización dispone de piscina de verano y piscina de interior climatizada para utilizarla todo el año, un gimnasio completo y sala de yoga.  Todo ello con la tranquilidad de vigilancia 24 hora.  Incluye plaza de garaje y trastero.  Visítalo, te encantará.. .       ^**^Este anuncio no es vinculante y puede contener errores. Se muestra a título informativo y no es contractual^**^ ***NO COBRAMOS COMISIÓN AL COMPRADOR.",good,False,6693,"{'typology': 'flat', 'subTypology': 'penthouse'}","{'subtitle': 'Peñagrande, Madrid', 'title': 'Ático en Calle de Buitrago del Lozoya'}",True,False,False,5,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",flat,penthouse,Ático en Calle de Buitrago del Lozoya,"Peñagrande, Madrid",True,True,0
8,99154036,850000,penthouse,sale,127,True,2,2,Calle de Buitrago del Lozoya,Madrid,Madrid,Fuencarral,es,False,40.471841,-3.7161305,False,https://www.idealista.com/inmueble/99154036/,"^**^FABULOSO ÁTICO DE LUJO CON 2 TERRAZAS, PLAZA DE GARAJE Y TRASTERO^**^ Espectacular Ático de lujo en unas de las mejores zonas de Madrid que combina la tranquilidad con todos los servicios cerca.  Esta propiedad destaca por las maravillosas vistas que se puedan apreciar desde su mas de 70 metros cuadrados de terraza.  El piso se distribuye en dos dormitorios ambos con baño en suite, cocina, salón comedor con salida directa a una terraza de más de 30 metros cuadrados, todo ellos con las mejores calidades y domótica.  Y para los amantes del deporte la urbanización dispone de piscina de verano y piscina de interior climatizada para utilizarla todo el año, un gimnasio completo y sala de yoga.  Todo ello con la tranquilidad de vigilancia 24 hora.  Incluye plaza de garaje y trastero.  Visítalo, te encantará.   ^**^Este anuncio no es vinculante y puede contener errores. Se muestra a título informativo y no es contractual^**^ ***NO COBRAMOS COMISIÓN AL COMPRADOR.",good,False,6693,"{'typology': 'flat', 'subTypology': 'penthouse'}","{'subtitle': 'Peñagrande, Madrid', 'title': 'Ático en Calle de Buitrago del Lozoya'}",True,False,False,5,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",flat,penthouse,Ático en Calle de Buitrago del Lozoya,"Peñagrande, Madrid",True,True,0
9,101537434,290000,flat,sale,74,True,2,1,Calle de Valderromán,Madrid,Madrid,Moncloa,es,False,40.470036,-3.7227614,False,https://www.idealista.com/inmueble/101537434/,"Tailor & Key presenta en alquiler y/o venta este inmueble, de 74 m2 útiles, totalmente equipado, disponible desde primeros de julio, en la zona de Moncloa-Aravaca. El inmueble se alquila por largas temporadas, ESTANCIA MÍNIMA DE UN AÑO. La vivienda se sitúa en la planta baja del edificio pero recibe mucha luz natural debido a sus grandes ventanales en todas las estancias. El recibidor goza de un armario de dos puertas correderas de suelo a techo con gran capacidad de almacenaje. Desde el recibidor accedemos a la derecha a la amplia zona de salón-comedor y a la izquierda a la cocina, totalmente equipada con electrodomésticos y menaje.  El pequeño pasillo hace de distribuidor hacia los dos dormitorios y el baño. El dormitorio principal cuenta con cama doble con cabecero que integra las dos mesillas de noche, un armario empotrado con puertas correderas de suelo a techo, una cómoda con gran capacidad de almacenaje y zona de trabajo. El otro dormitorio dispone de cama doble y un armario empotrado con puertas correderas de suelo a techo. El baño, amplio, cuenta con plato de ducha y estanterías para una mayor comodidad en el almacenaje de los pequeños accesorios y se entregará con un juego de toallas.  Las camas se entregan vestidas con un juego de sábanas y edredón. La vivienda disfruta de ventilación cruzada y dispone de mucha luz natural. Dispone de aire acondicionado por conductos. El aparcamiento no dispone de zona SER.  El inmueble se sitúa en el barrio de Valdezarza y en sus alrededores cuenta con fruterías, supermercados, cafeterías, comercios y grandes parques con zonas verdes. Transporte: Las comunicaciones son excelentes, tanto por carretera, con muy fácil acceso a la M-30 y A-6 como por metro o autobús. Aproximadamente a 200 metros se ubica la parada de metro Antonio Machado. Paradas de autobús cercanas 127/132/N21.  En Tailor & Key estamos especializados en el mercado residencial de Madrid. Ofrecemos un servicio integral y personalizado, acompañando a nuestros clientes a lo largo de las diferentes fases del ciclo inmobiliario, en operaciones de compra-venta, alquiler y reformas integrales de viviendas.  Si está interesado en esta propiedad o quiere recibir información adicional sobre nuestros servicios no dude en contactar con nosotros o dirigirse a nuestra web tailorkey. com.",good,False,3919,{'typology': 'flat'},"{'subtitle': 'Valdezarza, Madrid', 'title': 'Piso en Calle de Valderromán'}",True,False,False,bj,True,,flat,,Piso en Calle de Valderromán,"Valdezarza, Madrid",,,0
