,propertyCode,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,newDevelopment,latitude,longitude,showAddress,url,description,status,newDevelopment,priceByArea,detailedType,suggestedTexts,hasPlan,topNewDevelopment,superTopHighlight,floor,hasLift,parkingSpace
0,34797321,939000.0,flat,sale,225.0,True,4,4,barrio Peñagrande,Madrid,Madrid,Fuencarral,es,False,40.4742801,-3.7175621,False,https://www.idealista.com/inmueble/34797321/,"De Salas Puerta de Hierro & Mirasierra. Referencia MIV014 47. Espectacular piso de 225 m² con UNA PLAZA DE GARAJE incluida, ubicada en una urbanización de lujo, rematada con los mejores materiales y la más moderna domótica. La vivienda dispone de Hall de entrada con Aseo de cortesía y acceso a un amplio salón comedor inundado de luz. Por el pasillo encontramos 4 dormitorios, 3 de ellos con baño en suite. La habitación principal cuenta con dos vestidores independientes. La cocina independiente con zona office y espacio de lavado, tendedero y plancha. Descripción zona: La vivienda está ubicada en una zona tranquila, con amplias zonas verdes muy adecuada para familias, con centro de salud, mercado, guarderías y colegios. El Centro Comercial La Vaguada queda a 10 minutos andando. En cuanto a comunicaciones dispone de Metro cercano (Línea 7) y a un minuto de las paradas de autobús de las líneas 42, 127, 132 y 137 y próxima a la M-30 y M-40 Suelos de mármol y madera tropical. • Paredes revestidas de madera italiana color cerezo. • Iluminación empotrada en techo • Calefacción por suelo radiante, y agua centralizada por gas natural. • Aire acondicionado en todas las habitaciones  • Persianas motorizadas con interruptor general en la entrada de la vivienda.  • Música con sintonizador digital de radio en la habitación principal, baño principal y cocina. • Dispone de 1 plaza de garaje amplia (hay posibilidad de comprar una 2ª plaza) y un trastero de 7 m2  La urbanización dispone de alarma en cada vivienda y zonas comunes dotadas de piscina exterior, parque infantil, pista de pádel, gimnasio interior y piscina climatizada de agua salada. • 225 m2 construidos, 185 útiles, 6 m2 de trastero.",good,False,4173.0,{'typology': 'flat'},"{'subtitle': 'Peñagrande, Madrid', 'title': 'Piso'}",True,False,False,5,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}"
1,100340472,745000.0,penthouse,sale,154.0,True,4,3,Calle de Juan Sánchez,Madrid,Madrid,Fuencarral,es,False,40.4730117,-3.7212068,False,https://www.idealista.com/inmueble/100340472/,"Ático-dúplex en venta en Peñagrande  ÁTICO-DÚPLEX EXTERIOR CON TERRAZA EN URBANIZACIÓN CON PISCINA Y PLAZA DE GARAJE EN PEÑAGRANDE. Presentamos luminoso ático-dúplex exterior de 4 dormitorios, 2 baños, 1 aseo de cortesía, estancia para almacenaje y una fabulosa terraza. Incluye una plaza de garaje con acceso directo en ascensor y un trastero. En urbanización cerrada con piscina, pádel, zona infantil y salón social, con vigilancia 24 horas. Con 154 m² construidos, según catastro, de los cuales corresponden a vivienda 122 m² y 28 m² de terraza de uso privativo. La parte superior de la vivienda consta de salón-comedor, cocina amueblada y equipada con electrodomésticos, tendedero y un aseo de cortesía. Bajando unas escaleras de mármol, se accede a la parte inferior de la vivienda, con cuatro dormitorios y dos baños completos, uno de ellos en suite y bañera de hidromasaje. Cuenta además con una estancia de almacenaje. Con suelo de tarima de madera en toda la vivienda. Aire acondicionado. Calefacción y agua sanitaria son por gas natural individual. En la cubierta de la finca hay placas solares para el agua caliente. Cuenta con sistema de alarma contraincendios. Toda la vivienda está orientada al Este, a excepción de la cocina y una de las habitaciones, que dan al Sur. En muy buen estado, para entrar a vivir. Posibilidad de adquirir una segunda plaza de garaje, contigua a la que se incluye con la vivienda. Estupenda ubicación, en el barrio de Peñagrande, situado en el Norte de Madrid, entre Puerta de Hierro y Mirasierra, dentro de la almendra-M30. A 5 minutos andando de la estación de metro (línea 7) y con paradas de autobuses prácticamente en la puerta, que conectan con diferentes zonas de Madrid, incluido nocturnos. Muy cerca de colegios, universidades (Instituto de Empresa), hospitales y clínicas (La Paz, Ramón y Cajal, Ruber Internacional, Centro), residencias de mayores (Los Nogales-Puerta de Hierro, Ballesol), grandes superficies (La Vaguada), gimnasios (GoFit) y variedad de supermercados. A 10 minutos en coche de la Estación de Tren Chamartín y a 15 minutos del Aeropuerto. Grandes zonas verdes en la zona (El Pardo, Dehesa de la Villa). ¿Te imaginas vivir aquí?",good,False,4838.0,"{'typology': 'flat', 'subTypology': 'penthouse'}","{'subtitle': 'Peñagrande, Madrid', 'title': 'Ático en Calle de Juan Sánchez'}",True,False,False,5,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}"
2,102912846,466000.0,flat,sale,100.0,True,3,2,Calle de La Bañeza,Madrid,Madrid,Fuencarral,es,False,40.4754439,-3.7191802,False,https://www.idealista.com/inmueble/102912846/,"Exclusivo piso a estrenar situado en el barrio de Peñagrande, en Madrid. ¡SOMOS PROPIETARIOS! Disfruta de todas las ventajas de comprar directamente a la propiedad.  La vivienda está ubicada en la planta 3 exterior con ascensor. Dispone de una superficie total de 100 m², distribuidos en salón y comedor, cocina abierta equipada, 3 dormitorios y 2 baños. Además, cuenta con terraza, cocina amueblada, armarios empotrados, aire acondicionado, parking y accesibilidad para personas con movilidad reducida. Situado en el barrio de Peñagrande, en la Calle Bañeza, que te permitirá estar cerca de todo lo que necesitas como el Centro Comercial La Vaguada, el Parque de la Vaguada, el GO Fit Peñagrande, el Hospital Universitario La Paz y el Hospital Universitario Ramón y Cajal a 10 minutos en coche. A su vez, está próximo a supermercados, restaurantes, colegios, gimnasios, múltiples paradas de autobús y la estación de metro Peñagrande (L7). Agenda tu vista virtual y te acompañamos en todo el proceso. Llámanos de lunes a viernes de 9.00h a 20.00h Las imágenes son ilustrativas, no vinculantes puesto que la vivienda está siendo completamente reformada y se representa por imágenes hiperrealistas sujetas a posibles modificaciones al estar el proyecto en fase de ejecución y obra, al igual que el plano de la vivienda.",good,False,4660.0,{'typology': 'flat'},"{'subtitle': 'Peñagrande, Madrid', 'title': 'Piso en Calle de La Bañeza'}",True,False,False,3,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}"
3,103170813,625000.0,flat,sale,116.0,True,3,2,Calle de Juan Sánchez,Madrid,Madrid,Fuencarral,es,False,40.4762895,-3.7181639,False,https://www.idealista.com/inmueble/103170813/,"Este impresionante apartamento moderno de primeras calidades, ubicado en un barrio tranquilo de Madrid, es el lugar perfecto para cualquiera que busque un lugar privilegiado para vivir o invertir. Este espacioso apartamento de 116 m2 está en el primer piso prácticamente a estrenar, ya que ha sido construido en 2007 y se mantiene en perfecto estado gracias a las primeras calidades del mismo.   Ofrece una excelente distribución y cuenta con una amplia gama de instalaciones, que incluyen calefacción autónoma de gas con instalación individual por suelo radiante. Dispone de un amplio salón, así como un pasillo que separa la zona de descanso, el cual dispone de armarios empotrados. Además, destaca por su gran cocina perfectamente equipada con los mejores electrodomésticos. Por otro lado, la zona de descanso se divide en tres habitaciones, una de ellas en-suite. Todas ellas disponen de amplios armarios empotrados y persianas eléctricas con doble ventana.  La vivienda está equipada con calefacción por suelo radiante y aerotermia, suelo de mármol, trastero y dos plazas de garaje. La urbanización dispone de zona infantil, pista de padel, pisicina exterior e interior climatizada, vestuarios con sauna y gimnasio. Es ideal para familias, parejas jóvenes, profesionales y estudiantes. Además, muy cerca de esta propiedad se encuentra un hospital, centro de mayores, colegios, instalaciones deportivas y muchas opciones de transporte público. ¡Contáctanos hoy mismo para obtener más información y programar una visita! HOMLI, código de propiedad 8351.",good,False,5388.0,{'typology': 'flat'},"{'subtitle': 'Peñagrande, Madrid', 'title': 'Piso en Calle de Juan Sánchez'}",True,False,False,1,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}"
4,102147885,890000.0,chalet,sale,325.0,,7,5,Calle de las Islas Marquesas,Madrid,Madrid,Fuencarral,es,False,40.4742319,-3.7249742,False,https://www.idealista.com/inmueble/102147885/,"31Real Servicios Inmobiliarios presenta EL CHALET IDEAL PARA DISFRUTAR EN FAMILIA! ¡Tu pequeño paraíso en la Capital... La decisión acertada! Este chalet cuenta con 315 metros útiles sobre una parcela de 250 metros con piscina privada. La vivienda cuenta con 4 plantas que se distribuyen de la siguiente: Acceso al chalet a través de un porche ideal que nos invita a acceder a la planta principal; Esta planta cuenta con cerc de 100 metros, distribuidos en una maravillosa cocina, con zona office y con posibilidad de crear una zona dedicada a cocinar con una maravillosa isla. En esta planta contamos con un aseo de cortesía, un armario empotrado y un impresionante salón de más de 90 metros, que gracias a su imponente tamaño, ahora mismo se encuentra organizado en 3 áreas, una de ellas como zona de lectura/despacho, otro comedor y la otra zona como área de descanso y compartir en familia. Desde esta planta, se accede a un precioso y amplio jardin y a la piscina de 10 metros. Planta primera: (4 dormitorios + 2 baños y acceso a terraza)  Esta es la planta dedicada al descanso, nos encontramos con 95 metros que aportan amplio armario empotrado para la ropa blanca, cambios de mesa o el uso que quieras dar, ya que el armario es bastante amplio. 2 Dormitorios dobles, y 1 dormitorio simple super luminosos, todos ellos con armarios empotrados y todos cuentan con un pequeño balcón/terraza para disfrutarla todo el año. 1 baño completo con bañera y el dormitorio principal, con posibilidad de crear un precioso vestidor y baño completo en suite. Buhardilla: Con cerca de 45 metros, es una zona ideal para convertirla en área de juegos, cine, libreria... Actualmente es un área diáfana con armarios por todo su alrededor, un dormitorio doble y baño completo con bañera. Planta sótano: Zona habitable de 37 metros, donde se encuentra el dormitorio de servicio y un baño completo, otro dormitorio más, actualmente usado como zona de despensa. la zona de maquinaria de piscina y riego y termo de 300Litros con espacio para incluir otro termo de la misma capacidad y el GARAJE con 49 metros, aportando así una capacidad para 3 coches, además de la rampa.  El jardín de la casa, cuenta con mas de 200 metros, un porche precioso para disfrutar cenas en verano y alargar una comida en invierno. La piscina ubicada en la mejor orientación, tanto por la mañana como por la tarde, disfrutarás del baño bajo el sol. La zona donde se encuentra la vivienda, es dentro del distrito de Peñagrande, colindante a la exclusiva zona de Puerta de Hierro. La ubicación de este chalet es dentro de una zona residencial, pegada al centro de Salud, parques y amplios jardines verdes.  El transporte publico es muy cómodo, a unos metros de la carretera de la playa donde se encuentra la linea 83 y 133 directo a Callao y un poco más abajo, autobús directo a Plaza de Castilla. Dentro de la zona, nos encontramos con una gran oferta educativa y 5 minutos en coche del pulmón de la Capital; El Pardo. -De Madrid, al cielo!",good,False,2738.0,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}","{'subtitle': 'Peñagrande, Madrid', 'title': 'Chalet adosado en Calle de las Islas Marquesas'}",True,False,False,,,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}"
5,102643242,1300000.0,chalet,sale,388.0,,5,6,Calle de San Gerardo,Madrid,Madrid,Moncloa,es,False,40.472581,-3.7225265,False,https://www.idealista.com/inmueble/102643242/,"Grupo Inmobilia pone a la venta un chalet independiente en venta en el distrito de Moncloa, esrealmente impresionante. Aquí tienes un resumen detallado de sus características: Diseño Moderno y Funcional: Este chalet de construcción reciente tiene un diseño moderno y funcional que incorpora comodidades y lujos. Cuatro Plantas: Está distribuido en cuatro plantas, lo que proporciona un amplio espacio y versatilidad. Porche de Entrada Zen: El porche de entrada decorado como un jardín zen crea un ambiente tranquilo y acogedor desde el principio. Planta Baja: En la planta baja, encontrarás una cocina amplia y completamente amueblada con electrodomésticos de alta gama y un botellero a medida. También hay un salón espacioso con techos altos y un baño de cortesía para visitas. Zona Social y de Ocio: Desde el salón, se accede a la zona social, que incluye una cocina americana, una zona chill-out y una piscina impecable. Esto ofrece un espacio ideal para el entretenimiento y la relajación. Primera Planta de Descanso: La primera planta alberga cinco habitaciones y cinco baños. Tres de las habitaciones tienen baños en suite, y la principal cuenta con un magnífico vestidor. Esto proporciona un lujoso espacio privado para la familia y los huéspedes.  Planta Buhardilla: La segunda planta es una buhardilla versátil de grandes dimensiones con acceso a una terraza ático de 20 metros cuadrados, que puede ser utilizada como zona de solarium. Ascensor y Garaje: La vivienda unifamiliar cuenta con un ascensor, un garaje con capacidad para dos coches y una zona habilitada para lavandería. Sistema de Aerotermia: La instalación de aerotermia asegura que la temperatura en la casa sea siempre magnífica y eficiente desde el punto de vista energético. En resumen, este chalet ofrece una combinación de lujo, comodidad y diseño moderno en una ubicación deseable. Si estás en búsqueda de una residencia excepcional, esta propiedad es sin duda una opción que vale la pena considerar. Te sorprenderá. No dudes en visitarlo.",good,False,3351.0,"{'typology': 'chalet', 'subTypology': 'independantHouse'}","{'subtitle': 'Valdezarza, Madrid', 'title': 'Casa independiente en Calle de San Gerardo'}",False,False,False,,,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}"
6,103213042,220000.0,duplex,sale,68.0,True,1,2,barrio Pilar,Madrid,Madrid,Fuencarral,es,False,40.476249,-3.7160679,False,https://www.idealista.com/inmueble/103213042/,"Magnífico apartamento dúplex recién rehabilitado con las mejores calidades. Muy buena inversión. En el primer piso salón comedor cocina y un baño completo con ducha y monomandos termostáticos. Hay un armario empotrado y un altillo con mucha capacidad a modo de pequeño trastero. La cocina está amueblada con muy buenas calidades, encimera de Silestone, fregadero Roca, lavadora secadora Samsung, vitrocerámica de inducción Jata, microondas con grill Hotpoint y nevera Midea. La planta baja consta de baño completo con ducha y monomandos termostáticos, habitación de gran tamaño y armario empotrado. El apartamento está casi para entrar a vivir a falta de una sofá (o sofá cama) y mesa. La habitación tiene la cama doble (faltaría comprar las mesillas). Tiene aire acondicionado con bomba de frío y calor Daikin y dispositivo de conexión a distancia para poder encenderlo a través del teléfono. Las ventanas son tipo Climalit con doble acristalamiento. Las persianas son automáticas. Tiene video portero. El agua caliente va por calentador eléctrico de alta gama. El calentador está en un armario y tiene baldas debajo para más almacenamiento.  El edificio tiene portero. Hay un proyecto de cerrar con una valla un espacio exterior para aparcar dos coches por vivienda. Este espacio está únicamente reservado para este edificio y los colindantes.  El apartamento está situado andando a 5 minutos al parque de La Vaguada, a 10 minutos al centro comercial La Vaguada y a 30 andando al hospital La Paz, al IE y a las 4 Torres. Metro al lado y autobús directo a Nuevos Ministerios.",good,False,3235.0,"{'typology': 'flat', 'subTypology': 'duplex'}","{'subtitle': 'Pilar, Madrid', 'title': 'Dúplex'}",True,False,False,bj,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}"
7,103006294,275000.0,flat,sale,73.0,True,3,1,"Calle de Valderrodrigo, 33",Madrid,Madrid,Moncloa,es,False,40.4704224,-3.7203343,True,https://www.idealista.com/inmueble/103006294/,"Piso de 3 dormitorios actualmente alquilado en rentabilidad con contrato que finaliza el 25/11/2024 con un importe mensual de 1.020 euros, inquilinos cumpliendo con sus pagos desde el inicio del contrato. cuenta con tres dormitorios, el principal doble con armario empotrado, cuarto de baño con ducha. , salón comedor y cocina con electrodomésticos (lavavajillias, nevera, encimera, horno, lavadora), en la atractiva zona de Valdezarza Madrid. Inicio de contrato actual: 26/11/2019 finalización de contrato actual: 25/11/2024 Importe de alquiler: 1,020 euros mensuales Gastos de comunidad: 180 euros Gasto de IBI: 423,42 Rentabilidad bruta actual: 4,45 %. Situado en el cuarto piso de un edificio de cinco alturas. El exterior del edificio está bien mantenido y los jardines comunitarios se gestionan periódicamente. Se suministra gas urbano central para el calentador de agua y la cocina de gas, y la calefacción central comunitaria se realiza mediante radiadores de agua caliente, dispone de muy buena distribución que permite el máximo aprovechamiento de metros El transporte de colectivos y subterráneos se encuentra cerca, siendo Antonio Marchado la estación de metro y rutas de colectivos más cercanas al sector Universitario. Los servicios locales cubren todas las necesidades diarias, incluidas tiendas, bancos, restaurantes, escuelas internacionales y otras actividades de servicios habituales. Zona muy bien comunicada y tranquila, la parada de metro Antonio Machado (L-7) y líneas de Bus 127 y 132 a dos minutos y 126 unos 4 minutos. Con supermercados, comercios y colegios próximos. Muy cerca de la Dehesa de la Villa. Zona muy bien comunicada y tranquila, la parada de metro Antonio Machado (L-7) y líneas de Bus 127 y 132 a dos minutos y 126 unos 4 minutos. Con supermercados, comercios y colegios próximos. Muy cerca de la Dehesa de la Villa.",good,False,3767.0,{'typology': 'flat'},"{'subtitle': 'Valdezarza, Madrid', 'title': 'Piso en Calle de Valderrodrigo, 33'}",False,False,False,4,True,
8,103340028,239000.0,flat,sale,55.0,True,2,2,barrio Pilar,Madrid,Madrid,Fuencarral,es,False,40.4738513,-3.7130056,False,https://www.idealista.com/inmueble/103340028/,"Piso en exclusiva en el barrio del Pilar con superficie construida de 55m2 y superficie útil 51m2, en una tercera planta con orientación sur, dos dormitorios, cocina americana con espacio abierto al salón.  La vivienda se encuentra en reforma, se entregaría totalmente reformada a estrenar con las mejores calidades, con fontanería y sistema eléctrico nuevo, cocina semiequipada con electrodoméstico con garantía como horno, vitrocerámica de inducción y microondas, suelo de tarima, baño reformado y ampliado, puertas de madera blanca, todo es eléctrico, cerramientos kömmerling, paredes lisas, luces led conmutadas, termo eléctrico de 50 litros, portal recientemente reformado sin derrama.  El precio de la vivienda NO comprende los gastos de compraventa, impuestos, ni los honorarios de intermediación inmobiliaria que satisface el comprador. FINANCIAMOS HASTA EL 100% CON NUESTRO DPTO. FINANCIERO. DCREDIT! ¡LE ESPERAMOS! NO DUDES EN CONTACTAR CON NOSOTROS! o visite nuestra página web.",good,False,4345.0,{'typology': 'flat'},"{'subtitle': 'Pilar, Madrid', 'title': 'Piso'}",False,False,False,3,True,
9,103187318,350000.0,flat,sale,78.0,True,3,2,Calle Isla Malaita,Madrid,Madrid,Fuencarral,es,False,40.4751791,-3.7233088,False,https://www.idealista.com/inmueble/103187318/,"31Real Servicios Inmobiliarios vende: PISO EN PEÑAGRANDE, DE 3 HABITACIONES, 2 BAÑOS Y PLAZA DE GARAJE Vivienda de 78 metros que gracias a su distribución aportan una sensación de amplitud en todas las estancias de la casa.  La entrada a la vivienda nos muestra un recibidor y a continuación un pasillo que conecta todas las estancias, todas ellas EXTERIORES y con orientación sureste. El salón cuadrado y luminoso, con dos zonas divididas como zona de descanso y de estar y la zona de comedor. Aire acondicionado por Split. Tiene acceso a un pequeño balcón, con vistas despejadas.  La cocina alargada y totalmente amueblada con zona office para comer en familia.  La zona de descanso queda separada de las demás estancias de la vivienda, dos habitaciones individuales y una habitación doble, todas ellas EXTERIORES y con grandes ventanales.  La vivienda cuenta con dos baños completos, uno con ducha y el otro con bañera.  A destacar de la vivienda: REFORMA INTEGRAL del año 2004; se incorporó la mayor parte de la terraza a la vivienda ganando un mayor espacio en dos de las habitaciones y en la cocina, mejorando también la luminosidad gracias a sus grandes ventanales. La carpintería interior es de madera maciza, ventanas de toda la vivienda oscilovatientes climalit sobre acristalamiento y cámara de vacío, electricidad y tuberías cambiadas, instalación telefónica y de televisión en todas las estancias y suelo de gres imitación a tarima. Plaza de garaje con ACCESO DIRECTO desde el ascensor, incluida en el precio.  La vivienda se encuentra dentro de una finca privada, adaptada a personas con movilidad reducida, con dos ascensores, conserje físico y parque infantil. La vivienda se encuentra en una de las mejores zonas de Peñagrande, con gran variedad de mercados, cerca del centro comercial La Vaguada, al lado de colegios, centros de salud autobuses directos a Plaza de Castilla y Moncloa, a 5 minutos andando del Metro Antonio machado (Linea 7) y del metro Peñagrande (línea 7). Con fácil acceso directo a carreteras principales M30 y M40 a y menos de 10 minutos de Plaza de Castilla. ¡VISITA CON NOSOTROS! - DE MADRID AL CIELO, PERO ANTES, PASAMOS POR PEÑAGRANDE!",good,False,4487.0,{'typology': 'flat'},"{'subtitle': 'Peñagrande, Madrid', 'title': 'Piso en Calle Isla Malaita'}",True,False,False,10,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}"
