,propertyCode,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,newDevelopment,latitude,longitude,showAddress,url,description,status,newDevelopment,priceByArea,detailedType,suggestedTexts,hasPlan,topNewDevelopment,floor,hasLift,parkingSpace
0,34797321,939000.0,flat,sale,225.0,True,4,4,barrio Peñagrande,Madrid,Madrid,Fuencarral,es,False,40.4742801,-3.7175621,False,https://www.idealista.com/inmueble/34797321/,"De Salas Puerta de Hierro & Mirasierra. Referencia MIV014 47. Espectacular piso de 225 m² con UNA PLAZA DE GARAJE incluida, ubicada en una urbanización de lujo, rematada con los mejores materiales y la más moderna domótica. La vivienda dispone de Hall de entrada con Aseo de cortesía y acceso a un amplio salón comedor inundado de luz. Por el pasillo encontramos 4 dormitorios, 3 de ellos con baño en suite. La habitación principal cuenta con dos vestidores independientes. La cocina independiente con zona office y espacio de lavado, tendedero y plancha. Descripción zona: La vivienda está ubicada en una zona tranquila, con amplias zonas verdes muy adecuada para familias, con centro de salud, mercado, guarderías y colegios. El Centro Comercial La Vaguada queda a 10 minutos andando. En cuanto a comunicaciones dispone de Metro cercano (Línea 7) y a un minuto de las paradas de autobús de las líneas 42, 127, 132 y 137 y próxima a la M-30 y M-40 Suelos de mármol y madera tropical. • Paredes revestidas de madera italiana color cerezo. • Iluminación empotrada en techo • Calefacción por suelo radiante, y agua centralizada por gas natural. • Aire acondicionado en todas las habitaciones  • Persianas motorizadas con interruptor general en la entrada de la vivienda.  • Música con sintonizador digital de radio en la habitación principal, baño principal y cocina. • Dispone de 1 plaza de garaje amplia (hay posibilidad de comprar una 2ª plaza) y un trastero de 7 m2  La urbanización dispone de alarma en cada vivienda y zonas comunes dotadas de piscina exterior, parque infantil, pista de pádel, gimnasio interior y piscina climatizada de agua salada. • 225 m2 construidos, 185 útiles, 6 m2 de trastero.",good,False,4173.0,{'typology': 'flat'},"{'subtitle': 'Peñagrande, Madrid', 'title': 'Piso'}",True,False,5,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}"
1,100340472,745000.0,penthouse,sale,154.0,True,4,3,Calle de Juan Sánchez,Madrid,Madrid,Fuencarral,es,False,40.4730117,-3.7212068,False,https://www.idealista.com/inmueble/100340472/,"Ático-dúplex en venta en Peñagrande  ÁTICO-DÚPLEX EXTERIOR CON TERRAZA EN URBANIZACIÓN CON PISCINA Y PLAZA DE GARAJE EN PEÑAGRANDE. Presentamos luminoso ático-dúplex exterior de 4 dormitorios, 2 baños, 1 aseo de cortesía, estancia para almacenaje y una fabulosa terraza. Incluye una plaza de garaje con acceso directo en ascensor y un trastero. En urbanización cerrada con piscina, pádel, zona infantil y salón social, con vigilancia 24 horas. Con 154 m² construidos, según catastro, de los cuales corresponden a vivienda 122 m² y 28 m² de terraza de uso privativo. La parte superior de la vivienda consta de salón-comedor, cocina amueblada y equipada con electrodomésticos, tendedero y un aseo de cortesía. Bajando unas escaleras de mármol, se accede a la parte inferior de la vivienda, con cuatro dormitorios y dos baños completos, uno de ellos en suite y bañera de hidromasaje. Cuenta además con una estancia de almacenaje. Con suelo de tarima de madera en toda la vivienda. Aire acondicionado. Calefacción y agua sanitaria son por gas natural individual. En la cubierta de la finca hay placas solares para el agua caliente. Cuenta con sistema de alarma contraincendios. Toda la vivienda está orientada al Este, a excepción de la cocina y una de las habitaciones, que dan al Sur. En muy buen estado, para entrar a vivir. Posibilidad de adquirir una segunda plaza de garaje, contigua a la que se incluye con la vivienda. Estupenda ubicación, en el barrio de Peñagrande, situado en el Norte de Madrid, entre Puerta de Hierro y Mirasierra, dentro de la almendra-M30. A 5 minutos andando de la estación de metro (línea 7) y con paradas de autobuses prácticamente en la puerta, que conectan con diferentes zonas de Madrid, incluido nocturnos. Muy cerca de colegios, universidades (Instituto de Empresa), hospitales y clínicas (La Paz, Ramón y Cajal, Ruber Internacional, Centro), residencias de mayores (Los Nogales-Puerta de Hierro, Ballesol), grandes superficies (La Vaguada), gimnasios (GoFit) y variedad de supermercados. A 10 minutos en coche de la Estación de Tren Chamartín y a 15 minutos del Aeropuerto. Grandes zonas verdes en la zona (El Pardo, Dehesa de la Villa). ¿Te imaginas vivir aquí?",good,False,4838.0,"{'typology': 'flat', 'subTypology': 'penthouse'}","{'subtitle': 'Peñagrande, Madrid', 'title': 'Ático en Calle de Juan Sánchez'}",True,False,5,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}"
2,103206000,490000.0,flat,sale,108.0,True,3,2,Calle del Valle de Mena,Madrid,Madrid,Moncloa,es,False,40.4701233,-3.7161717,False,https://www.idealista.com/inmueble/103206000/,"Vivienda en el barrio de Valdezarza, en Madrid. ¡SOMOS PROPIETARIOS! Disfruta de todas las ventajas de comprar directamente a la propiedad. El inmueble está ubicada en la planta 3 exterior con ascensor. Dispone de una superficie total de 108 m², distribuidos en salón y comedor, cocina independiente, 3 dormitorios y 2 baños. Además, cuenta con ascensor, armarios empotrados, aire acondicionado, trastero, parking, jardín, piscina, zona comunitaria y accesibilidad para personas con movilidad reducida. Situado en el barrio de Valdezarza, en la Calle Valle de Mena, cuenta con una ubicación que te permitirá estar cerca de todo lo que necesitas como el Centro de Salud Doctor Castroviejo, el Parque de Agustín Rodríguez Sahagún y los campos de fútbol, Club Unión Zona Norte y A. D. Unión Adarve. A su vez, esta próximo a supermercados, restaurantes, colegios, gimnasios y a la estación de metro Antonio Machado (L7). ¿Te interesa esta vivienda? ¡Llámanos! Clikalia está a tu disposición de lunes a viernes de 9.00h a 20.00h. La vivienda ha sido parcialmente reformada y está representada por imágenes reales tras la finalización de la obra.",good,False,4537.0,{'typology': 'flat'},"{'subtitle': 'Valdezarza, Madrid', 'title': 'Piso en Calle del Valle de Mena'}",True,False,3,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}"
3,102912846,480000.0,flat,sale,100.0,True,3,2,Calle de La Bañeza,Madrid,Madrid,Fuencarral,es,False,40.4747435,-3.7173554,False,https://www.idealista.com/inmueble/102912846/,"Exclusivo piso a estrenar situado en el barrio de Peñagrande, en Madrid. ¡SOMOS PROPIETARIOS! Disfruta de todas las ventajas de comprar directamente a la propiedad.  La vivienda está ubicada en la planta 3 exterior con ascensor. Dispone de una superficie total de 100 m², distribuidos en salón y comedor, cocina abierta equipada, 3 dormitorios y 2 baños. Además, cuenta con terraza, cocina amueblada, armarios empotrados, aire acondicionado, parking y accesibilidad para personas con movilidad reducida. Situado en el barrio de Peñagrande, en la Calle Bañeza, que te permitirá estar cerca de todo lo que necesitas como el Centro Comercial La Vaguada, el Parque de la Vaguada, el GO Fit Peñagrande, el Hospital Universitario La Paz y el Hospital Universitario Ramón y Cajal a 10 minutos en coche. A su vez, está próximo a supermercados, restaurantes, colegios, gimnasios, múltiples paradas de autobús y la estación de metro Peñagrande (L7). Agenda tu vista virtual y te acompañamos en todo el proceso. Llámanos de lunes a viernes de 9.00h a 20.00h Las imágenes son ilustrativas, no vinculantes puesto que la vivienda está siendo completamente reformada y se representa por imágenes hiperrealistas sujetas a posibles modificaciones al estar el proyecto en fase de ejecución y obra, al igual que el plano de la vivienda.",good,False,4800.0,{'typology': 'flat'},"{'subtitle': 'Peñagrande, Madrid', 'title': 'Piso en Calle de La Bañeza'}",True,False,3,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}"
4,103523871,690000.0,flat,sale,152.0,True,3,2,barrio Peñagrande,Madrid,Madrid,Fuencarral,es,False,40.474086,-3.7188676,False,https://www.idealista.com/inmueble/103523871/,"Magnifico piso reformado en Peña Grande. Con una superficie de 152m² catastrales, dispone de tres dormitorios, dos baños, un amplio salón y una cocina espaciosa con tendedero. Situado en la octava planta, este luminoso piso ofrece muy buenas. La vivienda ha sido cuidadosamente reformada para ofrecer comodidad y estilo. Así, por ejemplo, se ha mejorado su eficiencia energética, con ventanas de doble acristalamiento en todas las habitaciones, utilizando cristales Guardian Sun Select, todas las estancias disponen de persianas. El sistema de aire acondicionado por conductos de la marca Daikin, con Airzone para cada estancia, asegura un confort ideal. Además, se ha instalado una caldera de gas nueva, de la marca Valliant.  Otras calidades de este estupendo piso son, los suelos en gres porcelánico rectificado, toda la carpintería interior es en color blanco, así como otros detalles de alta calidad como es la encimera de la cocina de la marca Dekton. En el tendedero se han dispuesto armarios de aluminio. Además, cuenta con una puerta acorazada de la marca Dierre, que ofrece máximo aislamiento térmico. Sus tres dormitorios, la entrada y el pasillo disponen de armarios empotrados para un mejor almacenamiento. Cuanta con una plaza de garaje espaciosa con espacio para una moto y coche, con más de cinco metros de longitud, así como un cuarto trastero. El edificio dispone de una amplia piscina para adultos y otra infantil, pista de pádel, club social para eventos, gimnasio, cámaras de seguridad, parque infantil y amplias zonas verdes, conserjería las 24 horas, recogida de paquetes. Toda la comodidad a su servicio. La vivienda se encuentra a 100 metros de la parada de metro de Peñagrande y tiene varias paradas de autobús próximas. Dispone de todos los servicios que se puedan necesitar en el entorno, desde centros de salud, colegios, comercios, hostelería y numerosos centros deportivos como el complejo Go Fit.",good,False,4539.0,{'typology': 'flat'},"{'subtitle': 'Peñagrande, Madrid', 'title': 'Piso'}",True,False,8,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}"
5,103170813,625000.0,flat,sale,116.0,True,3,2,Calle de Juan Sánchez,Madrid,Madrid,Fuencarral,es,False,40.4745368,-3.7186067,False,https://www.idealista.com/inmueble/103170813/,"Este impresionante apartamento moderno de primeras calidades, ubicado en un barrio tranquilo de Madrid, es el lugar perfecto para cualquiera que busque un lugar privilegiado para vivir o invertir. Este espacioso apartamento de 116 m2 está en el primer piso prácticamente a estrenar, ya que ha sido construido en 2007 y se mantiene en perfecto estado gracias a las primeras calidades del mismo.   Ofrece una excelente distribución y cuenta con una amplia gama de instalaciones, que incluyen calefacción autónoma de gas con instalación individual por suelo radiante. Dispone de un amplio salón, así como un pasillo que separa la zona de descanso, el cual dispone de armarios empotrados. Además, destaca por su gran cocina perfectamente equipada con los mejores electrodomésticos. Por otro lado, la zona de descanso se divide en tres habitaciones, una de ellas en-suite. Todas ellas disponen de amplios armarios empotrados y persianas eléctricas con doble ventana.  La vivienda está equipada con calefacción por suelo radiante y aerotermia, suelo de mármol, trastero y dos plazas de garaje. La urbanización dispone de zona infantil, pista de padel, pisicina exterior e interior climatizada, vestuarios con sauna y gimnasio. Es ideal para familias, parejas jóvenes, profesionales y estudiantes. Además, muy cerca de esta propiedad se encuentra un hospital, centro de mayores, colegios, instalaciones deportivas y muchas opciones de transporte público. ¡Contáctanos hoy mismo para obtener más información y programar una visita! HOMLI, código de propiedad 8351.",good,False,5388.0,{'typology': 'flat'},"{'subtitle': 'Peñagrande, Madrid', 'title': 'Piso en Calle de Juan Sánchez'}",True,False,1,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}"
6,102643242,1300000.0,chalet,sale,388.0,,5,6,Calle de San Gerardo,Madrid,Madrid,Moncloa,es,False,40.472581,-3.7225265,False,https://www.idealista.com/inmueble/102643242/,"Grupo Inmobilia pone a la venta un chalet independiente en venta en el distrito de Moncloa, esrealmente impresionante. Aquí tienes un resumen detallado de sus características: Diseño Moderno y Funcional: Este chalet de construcción reciente tiene un diseño moderno y funcional que incorpora comodidades y lujos. Cuatro Plantas: Está distribuido en cuatro plantas, lo que proporciona un amplio espacio y versatilidad. Porche de Entrada Zen: El porche de entrada decorado como un jardín zen crea un ambiente tranquilo y acogedor desde el principio. Planta Baja: En la planta baja, encontrarás una cocina amplia y completamente amueblada con electrodomésticos de alta gama y un botellero a medida. También hay un salón espacioso con techos altos y un baño de cortesía para visitas. Zona Social y de Ocio: Desde el salón, se accede a la zona social, que incluye una cocina americana, una zona chill-out y una piscina impecable. Esto ofrece un espacio ideal para el entretenimiento y la relajación. Primera Planta de Descanso: La primera planta alberga cinco habitaciones y cinco baños. Tres de las habitaciones tienen baños en suite, y la principal cuenta con un magnífico vestidor. Esto proporciona un lujoso espacio privado para la familia y los huéspedes.  Planta Buhardilla: La segunda planta es una buhardilla versátil de grandes dimensiones con acceso a una terraza ático de 20 metros cuadrados, que puede ser utilizada como zona de solarium. Ascensor y Garaje: La vivienda unifamiliar cuenta con un ascensor, un garaje con capacidad para dos coches y una zona habilitada para lavandería. Sistema de Aerotermia: La instalación de aerotermia asegura que la temperatura en la casa sea siempre magnífica y eficiente desde el punto de vista energético. En resumen, este chalet ofrece una combinación de lujo, comodidad y diseño moderno en una ubicación deseable. Si estás en búsqueda de una residencia excepcional, esta propiedad es sin duda una opción que vale la pena considerar. Te sorprenderá. No dudes en visitarlo.",good,False,3351.0,"{'typology': 'chalet', 'subTypology': 'independantHouse'}","{'subtitle': 'Valdezarza, Madrid', 'title': 'Casa independiente en Calle de San Gerardo'}",False,False,,,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}"
7,103608456,390000.0,flat,sale,103.0,True,4,2,Calle de Juan Sánchez,Madrid,Madrid,Fuencarral,es,False,40.4730834,-3.7203849,False,https://www.idealista.com/inmueble/103608456/,"31Real Servicios Inmobiliarios VENDE piso de 4 HABITACIONES, 2 BAÑOS COMPLETOS, TERRAZA y PLAZA DE GARAJE en Peñagrande.  La vivienda cuenta con 93 metros que se distribuyen en un amplio hall por el que accedemos a una cocina amueblada. El salón tiene la amplitud y la distribución ideal que siempre se busca, amplio, con dos zonas divididas como zona de descanso y de estar y la zona de comedor. Tiene acceso a lo más demandado en estos tiempos, UNA TERRAZA acristalada. Aire acondicionado por split.  La vivienda cuenta con 4 dormitorios, dos de ellos EXTERIORES y 2 baños completos, uno con plato de ducha y el otro con bañera.  El garaje se encuentra en el mismo edificio con acceso al mismo desde la planta baja. PLAZA DE GARAJE INCLUIDA EN EL PRECIO. La finca además cuenta con parking privado en superficie. La vivienda se encuentra en una de las mejores zonas de Peñagrande, al lado de colegios, autobuses directos a Plaza de Castilla y Moncloa, a 3 minutos del Metro Peñagrande a cinco minutos del Metro Antonio machado (Linea 7), Centro Comercial La Vaguada muy cerca de la vivienda y centro de Salud Doctor Castroviejo a escasos metros. Con fácil acceso directo a carreteras principales M30 y M40 a y menos de 10 minutos de Plaza de Castilla. ¡VISITA CON NOSOTROS! - DE MADRID AL CIELO, PERO ANTES, PASAMOS POR PEÑAGRANDE!",good,False,3786.0,{'typology': 'flat'},"{'subtitle': 'Peñagrande, Madrid', 'title': 'Piso en Calle de Juan Sánchez'}",True,False,1,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}"
8,103500193,390000.0,flat,sale,123.0,True,4,2,Calle de La Serna del Monte,Madrid,Madrid,Fuencarral,es,False,40.4738605,-3.7210905,False,https://www.idealista.com/inmueble/103500193/,"31Real Servicios Inmobiliarios vende: BAJO PARA REFORMAR EN PEÑAGRANDE DE 4 DORMITORIOS, TERRAZA, 2 BAÑOS, PLAZA DE GARAJE DOBLE Y TRASTERO. La vivienda cuenta con 114 metros que se distribuyen en un amplio hall por el que accedemos a una cocina amueblada. El salón tiene la amplitud y la distribución ideal que siempre se busca, amplio, con dos zonas divididas como zona de descanso y de estar y la zona de comedor. Tiene acceso a lo más demandado en estos tiempos, UNA TERRAZA.  La vivienda cuenta con 4 dormitorios, dos de ellos EXTERIORES y 2 baños completos con ventana, uno de ellos en suite.  La capacidad de almacenaje que tiene es un valor añadido, ya que además de contar con amplios armarios empotrados en 3 de los 4 dormitorios, tenemos dos armarios más en el pasillo y en la entrada.  La vivienda se encuentra ubicada en urbanización privada, con jardines. El portal adaptado para minusválidos con montacargas, TRASTERO y PLAZA DE GARAJE con acceso directo en ascensor, incluida en el precio! La vivienda se encuentra en una de las mejores zonas de Peñagrande, con todas las comodidades al alcance, al lado de colegios, autobuses directos a Plaza de Castilla y Moncloa, a 5 minutos del Metro Peñagrande y del Metro Antonio machado (Linea 7), Centro Comercial La Vaguada muy cerca de la vivienda y centro de Salud Doctor Castroviejo a escasos metros. Con fácil acceso directo a carreteras principales M30 y M40 a y menos de 10 minutos de Plaza de Castilla. ¡VISITA CON NOSOTROS! - DE MADRID AL CIELO, PERO ANTES, PASAMOS POR PEÑAGRANDE!",good,False,3171.0,{'typology': 'flat'},"{'subtitle': 'Peñagrande, Madrid', 'title': 'Piso en Calle de La Serna del Monte'}",True,False,bj,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}"
9,102838025,300000.0,flat,sale,73.0,True,3,1,Calle de Valderromán,Madrid,Madrid,Moncloa,es,False,40.4691508,-3.7238152,False,https://www.idealista.com/inmueble/102838025/,"Se vende piso directamente del propietario en Moncloa, Madrid, un espacio para disfrutar en tu día a día. Características: - Encantador piso de 73 m2. (Los metros cuadrados están verificados con la Dirección General de Catastro) - Esta vivienda cuenta con 3 habitaciones y 1 baño. - Cómodo salón-comedor amplio y luminoso, creando un precioso y único espacio. - Exterior. - Con una conveniente cocina en muy buen estado y equipada con todo lo necesario. - Ascensor. - Conserje - Tendedero en la cocina. - Mobiliario a negociar. Sobre la ubicación, si escoges este barrio para vivir tendrás todos los servicios esenciales que necesitarás para tu nueva vida. A escasos metros encontramos: centros educativos, centros de salud, parques, equipamientos deportivos y supermercados, farmacias, entre otros. No lo dudes más y contacta con nosotros para agendar una visita, conseguiremos la vivienda de tus sueños. Sobre nosotros: Housfy es una plataforma tecnológica que ofrece al propietario/a todos los servicios necesarios para que pueda vender la propiedad por su cuenta. Para más información, visítenos en housfy. com. AICAT número: 7922.",good,False,4110.0,{'typology': 'flat'},"{'subtitle': 'Valdezarza, Madrid', 'title': 'Piso en Calle de Valderromán'}",True,False,1,True,
