,propertyCode,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,newDevelopment,latitude,longitude,showAddress,url,description,status,newDevelopment,priceByArea,detailedType,suggestedTexts,hasPlan,topNewDevelopment,floor,hasLift,parkingSpace,dType,SubdType,dsugTextTit,dsugTexsubtit,dhasParking,dParkingIncl
0,100340472,745000.0,penthouse,sale,154.0,True,4,3,Calle de Juan Sánchez,Madrid,Madrid,Fuencarral,es,False,40.4730117,-3.7212068,False,https://www.idealista.com/inmueble/100340472/,"ÁTICO-DÚPLEX EXTERIOR CON TERRAZA EN URBANIZACIÓN CON PISCINA Y PLAZA DE GARAJE EN PEÑAGRANDE. Presentamos luminoso ático-dúplex exterior de 4 dormitorios, 2 baños, 1 aseo de cortesía, estancia para almacenaje y una fabulosa terraza. Incluye una plaza de garaje con acceso directo en ascensor y un trastero. En urbanización cerrada con piscina, pádel, zona infantil y salón social, con vigilancia 24 horas. Con 154 m² construidos, según catastro, de los cuales corresponden a vivienda 122 m² y 28 m² de terraza de uso privativo. La parte superior de la vivienda consta de salón-comedor, cocina amueblada y equipada con electrodomésticos, tendedero y un aseo de cortesía. Bajando unas escaleras de mármol, se accede a la parte inferior de la vivienda, con cuatro dormitorios y dos baños completos, uno de ellos en suite y bañera de hidromasaje. Cuenta además con una estancia de almacenaje. Con suelo de tarima de madera en toda la vivienda. Aire acondicionado. Calefacción y agua sanitaria son por gas natural individual. En la cubierta de la finca hay placas solares para el agua caliente. Cuenta con sistema de alarma contraincendios. Toda la vivienda está orientada al Este, a excepción de la cocina y una de las habitaciones, que dan al Sur. En muy buen estado, para entrar a vivir. Posibilidad de adquirir una segunda plaza de garaje, contigua a la que se incluye con la vivienda. Estupenda ubicación, en el barrio de Peñagrande, situado en el Norte de Madrid, entre Puerta de Hierro y Mirasierra, dentro de la almendra-M30. A 5 minutos andando de la estación de metro (línea 7) y con paradas de autobuses prácticamente en la puerta, que conectan con diferentes zonas de Madrid, incluido nocturnos. Muy cerca de colegios, universidades (Instituto de Empresa), hospitales y clínicas (La Paz, Ramón y Cajal, Ruber Internacional, Centro), residencias de mayores (Los Nogales-Puerta de Hierro, Ballesol), grandes superficies (La Vaguada), gimnasios (GoFit) y variedad de supermercados. A 10 minutos en coche de la Estación de Tren Chamartín y a 15 minutos del Aeropuerto. Grandes zonas verdes en la zona (El Pardo, Dehesa de la Villa). ¿Te imaginas vivir aquí?  MUCHAS DE NUESTRAS PROPIEDADES NO APARECEN EN IDEALISTA, CONSULTA NUESTRA PÁGINA WEB PARA VER MÁS PROPIEDADES EXCLUSIVAS.",good,False,4838.0,"{'typology': 'flat', 'subTypology': 'penthouse'}","{'subtitle': 'Peñagrande, Madrid', 'title': 'Ático en Calle de Juan Sánchez'}",True,False,5,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",flat,penthouse,Ático en Calle de Juan Sánchez,"Peñagrande, Madrid",True,True
1,103523871,675000.0,flat,sale,152.0,True,3,2,barrio Peñagrande,Madrid,Madrid,Fuencarral,es,False,40.474086,-3.7188676,False,https://www.idealista.com/inmueble/103523871/,"Magnifico piso reformado en Peña Grande. Con una superficie de 152m² catastrales, dispone de tres dormitorios, dos baños, un amplio salón y una cocina espaciosa con tendedero. Situado en la octava planta, este luminoso piso ofrece buenas vistas. La vivienda ha sido cuidadosamente reformada para ofrecer comodidad y estilo. Así, por ejemplo, se ha mejorado su eficiencia energética, con ventanas de doble acristalamiento en todas las habitaciones, utilizando cristales Guardian Sun Select, todas las estancias disponen de persianas. El sistema de aire acondicionado por conductos de la marca Daikin, con Airzone para cada estancia, asegura un confort ideal. Además, se ha instalado una caldera de gas nueva, de la marca Valliant.  Otras calidades de este estupendo piso son, los suelos en gres porcelánico rectificado, toda la carpintería interior es en color blanco, así como otros detalles de alta calidad como es la encimera de la cocina de la marca Dekton. En el tendedero se han dispuesto armarios de aluminio. Además, cuenta con una puerta acorazada de la marca Dierre, que ofrece máximo aislamiento térmico. Sus tres dormitorios, la entrada y el pasillo disponen de armarios empotrados para un mejor almacenamiento. Cuanta con una plaza de garaje espaciosa con espacio para una moto y coche, con más de cinco metros de longitud, así como un cuarto trastero. El edificio dispone de una amplia piscina para adultos y otra infantil, pista de pádel, club social para eventos, gimnasio, cámaras de seguridad, parque infantil y amplias zonas verdes, conserjería las 24 horas, recogida de paquetes. Toda la comodidad a su servicio. La vivienda se encuentra a 100 metros de la parada de metro de Peñagrande y tiene varias paradas de autobús próximas. Dispone de todos los servicios que se puedan necesitar en el entorno, desde centros de salud, colegios, comercios, hostelería y numerosos centros deportivos como el complejo Go Fit.",good,False,4441.0,{'typology': 'flat'},"{'subtitle': 'Peñagrande, Madrid', 'title': 'Piso'}",True,False,8,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",flat,,Piso,"Peñagrande, Madrid",True,True
2,104003668,675000.0,flat,sale,151.0,True,3,2,Calle de Isla Cristina,Madrid,Madrid,Moncloa,es,False,40.4701719,-3.7242689,False,https://www.idealista.com/inmueble/104003668/,"Magnifico piso de 120 m2 de vivienda más 31 m2 de Terraza de uso y disfrute particular, en planta baja, pero con mucha luz en toda la casa. Con 2 plazas de garaje una de ellas para dos coches.  Según entramos nos encontramos con el vestibulo que nos abre paso al enorme salón comedor, de paso, con ventana al jardín con piscina del edificio. A continuación nos encontramos con el pasillo distribuidor que nos lleva a la izquierda a dos dormitorios de similar tamaño y por último al gran dormitorio principal con amplio baño con bañera en suite. Las ventanas de las habitaciones dan a la terraza del piso. Con armarios empotrados por toda la casa. A la izquierda en el pasillo nos lleva al segundo baño con ducha y a un cuarto de armarios.  Si continuamos llegamos a la amplia cocina amueblada y equipada con electrodomésticos y al fondo un lavadero que nos abre paso a la gran terraza de unos 31 m2. Van incluidas en el precio dos plazas de garaje para tres coches pues una de ellas es muy larga y caben dos coches. En muy buen edificio con piscina privada. En el inmueble hay también Portero fisico. Se paga de comunidad de propietarios de vivienda unos 171 Euros y de las Dos plazas de garaje unos 70 Euros. De IBI se pagan unos 800 Euros. Situado en el distrito de Moncloa-Aravaca, en el oeste de Madrid, el barrio de Valdezarza está bordeado, al norte, por la calle del Valle de Mena; al este, por la calle de Villaamil y la calle de Ofelia Nieto; al sur, por la calle de Francos Rodríguez; y, al oeste, por la calle de Antonio Machado, la calle de la Isla de Oza y la calle de Nueva Zelanda. El extremo noroeste del barrio está situado al lado de la autopista M-30, lo que facilita el acceso en coche. Otras opciones de transporte son el autobús o el metro (Valdezarza y Antonio Machado).",renew,False,4470.0,{'typology': 'flat'},"{'subtitle': 'Valdezarza, Madrid', 'title': 'Piso en Calle de Isla Cristina'}",True,False,bj,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",flat,,Piso en Calle de Isla Cristina,"Valdezarza, Madrid",True,True
3,102912846,480000.0,flat,sale,100.0,True,3,2,Calle de La Bañeza,Madrid,Madrid,Fuencarral,es,False,40.4748723,-3.7195053,False,https://www.idealista.com/inmueble/102912846/,"Exclusivo piso a estrenar situado en el barrio de Peñagrande, en Madrid. ¡SOMOS PROPIETARIOS! Disfruta de todas las ventajas de comprar directamente a la propiedad.  La vivienda está ubicada en la planta 3 exterior con ascensor. Dispone de una superficie total de 100 m², distribuidos en salón y comedor, cocina abierta equipada, 3 dormitorios y 2 baños. Además, cuenta con terraza, cocina amueblada, armarios empotrados, aire acondicionado, parking y accesibilidad para personas con movilidad reducida. Situado en el barrio de Peñagrande, en la Calle Bañeza, que te permitirá estar cerca de todo lo que necesitas como el Centro Comercial La Vaguada, el Parque de la Vaguada, el GO Fit Peñagrande, el Hospital Universitario La Paz y el Hospital Universitario Ramón y Cajal a 10 minutos en coche. A su vez, está próximo a supermercados, restaurantes, colegios, gimnasios, múltiples paradas de autobús y la estación de metro Peñagrande (L7). Agenda tu visita y te acompañamos en todo el proceso. Llámanos de lunes a viernes de 9.00h a 20.00h La vivienda ha sido completamente reformada y está representada por imágenes reales tras la finalización de la obra. El mobiliario no está incluido en el precio, es representativo para visualizar las dimensiones reales de la estancia y un ejemplo de cómo queda la vivienda decorada.",good,False,4800.0,{'typology': 'flat'},"{'subtitle': 'Peñagrande, Madrid', 'title': 'Piso en Calle de La Bañeza'}",True,False,3,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",flat,,Piso en Calle de La Bañeza,"Peñagrande, Madrid",True,True
4,103206000,490000.0,flat,sale,108.0,True,3,2,Calle del Valle de Mena,Madrid,Madrid,Moncloa,es,False,40.4687455,-3.7149796,False,https://www.idealista.com/inmueble/103206000/,"Vivienda en el barrio de Valdezarza, en Madrid. ¡SOMOS PROPIETARIOS! Disfruta de todas las ventajas de comprar directamente a la propiedad. El inmueble está ubicada en la planta 3 exterior con ascensor. Dispone de una superficie total de 108 m², distribuidos en salón y comedor, cocina independiente, 3 dormitorios y 2 baños. Además, cuenta con ascensor, armarios empotrados, aire acondicionado, trastero, parking, jardín, piscina, zona comunitaria y accesibilidad para personas con movilidad reducida. Situado en el barrio de Valdezarza, en la Calle Valle de Mena, cuenta con una ubicación que te permitirá estar cerca de todo lo que necesitas como el Centro de Salud Doctor Castroviejo, el Parque de Agustín Rodríguez Sahagún y los campos de fútbol, Club Unión Zona Norte y A. D. Unión Adarve. A su vez, esta próximo a supermercados, restaurantes, colegios, gimnasios y a la estación de metro Antonio Machado (L7). ¿Te interesa esta vivienda? ¡Llámanos! Clikalia está a tu disposición de lunes a viernes de 9.00h a 20.00h. La vivienda ha sido completamente reformada y está representada por imágenes reales tras la finalización de la obra. El mobiliario no está incluido en el precio, es representativo para visualizar las dimensiones reales de la estancia y un ejemplo de cómo queda la vivienda decorada.",good,False,4537.0,{'typology': 'flat'},"{'subtitle': 'Valdezarza, Madrid', 'title': 'Piso en Calle del Valle de Mena'}",True,False,3,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",flat,,Piso en Calle del Valle de Mena,"Valdezarza, Madrid",True,True
5,104204737,385000.0,flat,sale,92.0,True,3,2,Calle de Valderrodrigo,Madrid,Madrid,Moncloa,es,False,40.468042,-3.7200873,False,https://www.idealista.com/inmueble/104204737/,"Grupo Extra ofrece amplia y luminosa vivienda de 3 dormitorios y 2 baños para reformar, totalmente exterior. Está ubicado en la undécima planta, última planta del edificio.  Distribuido en hall recibidor, salón comedor, cocina independiente con doble acceso, 3 dormitorios dobles y 2 baños completos (uno con plato de ducha y otro con bañera). Orientación suroeste. , muy luminoso. También tiene acceso a la azotea comunitaria.  Suelos de parquet. Carpintería exterior de aluminio en salón y cocina y ventanas climalit en las habitaciones. La calefacción es central de gas natural.  El año de construcción de la finca es de 1968. Cuenta con portero físico. La ITE se encuentra en estado favorable con fecha de abril de 2023.  En cuanto a la ubicación, se encuentra rodeado de todo tipo de servicios. Estación de Metro Antonio Machado (Línea 7), a 200 metros de la vivienda. Diversas líneas de autobús ( 32) a escasos metros de la vivienda. Colegio De Educación Infantil y primaria Lepanto, Instituto De Educación Secundaria Isaac Newton e Instituto De Educación Secundaria Ciudad De Los Poetas. Centro de salud Isla de Oza. Parques y áreas infantiles y todo tipo de supermercados y comercios.  Estamos preparando el reportaje del interior, no dude en solicitar más información.",renew,False,4185.0,{'typology': 'flat'},"{'subtitle': 'Valdezarza, Madrid', 'title': 'Piso en Calle de Valderrodrigo'}",True,False,11,True,,flat,,Piso en Calle de Valderrodrigo,"Valdezarza, Madrid",,
6,103138983,545000.0,flat,sale,118.0,True,3,2,"Calle de San Gerardo, 51",Madrid,Madrid,Moncloa,es,False,40.4712696,-3.7255049,True,https://www.idealista.com/inmueble/103138983/,"Rive presenta esta espectacular vivienda con REFORMA INTEGRAL de tres dormitorios, dos baños y plaza de garaje en la calle San Gerardo 51 en el barrio de Valdezarza distrito de Moncloa-Aravaca. El piso es una segunda planta totalmente exterior que destaca por su luz, vistas abiertas (tiene doble orientación este-oeste) y espacio de almacenamiento. Consta de 118 metros construidos con comunes y 102 de vivienda en una finca de 1971. Entrando a la vivienda a mano derecha encontramos el salón-comedor con salida a la terraza, y a mano izquierda encontramos la cocina, que cuenta con office, espacio de lavandería y salida a otra pequeña terraza. Avanzando por el pasillo se accede a los domitorios y los dos baños, siendo el de la habitación principal en suite. Cuenta con armarios empotrados en el recibidor y las habitaciones. La cocina se encuentra completamente equipada con electrodomésticos panelados. REFORMADO CON CALIDADES ACTUALES Se está llevando a cabo la reforma con excelentes calidades: paredes lisas, suelo de tarima laminada, paredes lisas, suelo de tarima laminada, pavimento porcelánico en baño, cerramientos con cumplimiento de máxima eficiencia energética (ventanas de climalit con doble acristalamiento) y electricidad y fontanería completamente nuevos.  La calefacción es central y la finca, de 1971, cuenta con portero físico. La vivienda cuenta con trastero y una plaza de garaje independiente. Además, hay plazas en superficie para el uso de todos los vecinos. Los gastos de comunidad ascienden a 289€/mes el mes que pasa el agua, y el IBI son 702€. La ITE fue favorable 2019.  ¿POR QUÉ ELEGIR ESTE BARRIO? Perfectamente ubicado en una zona familiar y residencial de Madrid. Se trata de un área que dispone de todo tipo de servicios como colegios, farmacias, parques, centro de salud, hospitales y supermercados. La comunicación es excelente tanto en transporte público (línea 7 de metro Antonio Machado o Valdezarza) y autobuses de la EMT a Moncloa, Cuatro Caminos, la Vaguada, etc) como por carretera ya que tiene fácil acceso a la M30 y M40 y a 5 minutos andando al parque de la Dehesa de la Villa. En Rive tenemos la misión de hacer que la compra y venta de viviendas sea rápida, sencilla y segura. Ofrecemos ofertas de compra instantánea, servicios inmobiliarios tradicionales y una amplia gama de apartamentos listos para la mudanza en venta y alquiler. Nuestro equipo de especialistas cualificados, respaldados con tecnología de inteligencia artificial, garantiza la eficiencia y la tranquilidad en cada transacción. SOMOS PROPIETARIOS - NO COBRAMOS COMISIONES.",good,False,4619.0,{'typology': 'flat'},"{'subtitle': 'Valdezarza, Madrid', 'title': 'Piso en Calle de San Gerardo, 51'}",True,False,2,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",flat,,"Piso en Calle de San Gerardo, 51","Valdezarza, Madrid",True,True
7,103944798,214000.0,flat,sale,56.0,True,2,1,Calle Sarria s/n,Madrid,Madrid,Fuencarral,es,False,40.4732454,-3.7144027,True,https://www.idealista.com/inmueble/103944798/,"HMinmobiliaria ofrece piso 100% FINANCIACIÓN! Posibilidad de un préstamo de 214.000 €! SIN ENTRADA! Piso en Peña Grande, 2 dormitorios, …. ¡ Ver VIDEO!  ¡SIN COMISIONES! SIN AVAL!  Solo con tus INGRESOS y los gastos de escrituras! NADA mas!  8309 - 2 dormitorios, salón-comedor con salida a terraza, cocina amueblada, baño con bañera y ventana  Buena opción como PRIMERA VIVIENDA o como INVERSION!  La ubicación es magnífica con todos los servicios de comercios, colegios, institutos, farmacia, a muy poca distancia y muy cerca del Centro Comercial “La Vaguada”  Muy bien comunicado con transporte público a menos de 5 min esta la estación de metro “Peña Grande” Si trabajas en la Vaguada o cerca este es tu piso, con el consiguiente ahorro de tiempo y dinero, pudiendo desplazarte a pie.  Con tus INGRESOS, SIN AVALES! 100% FINANCIACION! puedes tener tu vivienda en PROPIEDAD.  Solo tienes que disponer de los gastos de escritura y el resto te lo financia el banco hasta el 100% del valor de la compra.  Cada cliente es ÚNICO, cada Compra es ÚNICA, cada Vivienda es ÚNICA.  100%! FINANCIACIóN! SIN ENTRADA! Sin COMISIONES, NI por la VENTA, NI por la TRAMITACION de la venta NI del préstamo!  Solo con TUS INGRESOS y los gastos de escrituras! NADA mas!  HMInmobiliaria convirtiendo desde 1.989 los SueÑoS en HoGaReS!",good,False,3821.0,{'typology': 'flat'},"{'subtitle': 'Pilar, Madrid', 'title': 'Piso en Calle Sarria s/n'}",True,False,6,True,,flat,,Piso en Calle Sarria s/n,"Pilar, Madrid",,
8,103968612,214000.0,flat,sale,116.0,True,2,2,Calle del Doctor Juan José López Ibor,Madrid,Madrid,Moncloa,es,False,40.4709306,-3.7247655,False,https://www.idealista.com/inmueble/103968612/,"Ponemos a la venta esta "" Nuda Propiedad "" en preciosa urbanización con amplisímos jardines, 18.775m² + 2 pistas de tenis+ piscina + parque infantil, se trata de un piso de ( antes 3 dormitorios) 2 dormitorios dobles, ( uno en suite con vestidor y wc ) + 2 wc + salón + cocina + terraza de unos 6m², aire acondicionado por splits, tiene trastero ( de unos 3m² ) y garaje de acceso directo incluidos en precio. Esta finca se halla ubicada en el Distrito de Moncloa, entre las calles Valle de Mena y Dr Juan José López Ibor, junto a la zona conocida como "" Puerta de Hierro"". Se trata de una vivienda reformada recientemente, en una finca señorial con vigilancia 24/7, con cuidados y amplios jardines. Es una zona eminentemente residencial, pero con vida, tienes cerca: farmacia, veterinario, varias guarderias, Colegio Santa María del Camino, el Instituto De Educación Secundaria Isaac Newton, el Centro Privado De Educación Infantil, Primaria Y Secundaria Liceo Sorolla B; la famosa Clínica López Ibor, el Centro De Salud Isla De Oza - Calle San Martín de Porres. Varios supermercados: Hiber, Dia, Unide, panadería, etc.. . ** En cuanto a comunicaciones, a través del túnel de Sor Ángela de la Cruz, te comunicas en coche con el Pª de la Castellana, Estadio Santiago Bernabeu y Corte Inglés en unos 10/12 minutos. . -Por transporte público tienes: en la misma calle ( 64-137-N-20) y en la calle de al lado el las paradas de buses: 42-137 y también tienes cerca la parada de metro de Antonio Machado ( L-7) Y si usas coche tienes a 1 minuto el acceso al primer anillo de circunvalación M-30 y a través de este anillo enseguida tienes acceso al segundo anillo, la M-40 y por tanto acceso rápido al resto de radiales y al aeropuerto de la capital Adolfo Suárez Madrid-Barajas. No dudes en llamar y nuestros asesores te informaran con detalle sobre esta inversión.",good,False,1845.0,{'typology': 'flat'},"{'subtitle': 'Valdezarza, Madrid', 'title': 'Piso en Calle del Doctor Juan José López Ibor'}",True,False,5,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",flat,,Piso en Calle del Doctor Juan José López Ibor,"Valdezarza, Madrid",True,True
9,103883241,548000.0,flat,sale,122.0,True,2,2,barrio Peñagrande,Madrid,Madrid,Fuencarral,es,False,40.4716448,-3.7223983,False,https://www.idealista.com/inmueble/103883241/,"PISO EXTERIOR EN URBANIZACIÓN  Aproperties pone a su disposición en exclusiva, un espectacular piso exterior en una urbanización de Madrid.   La finca se encuentra en la zona de El Pardo-Fuencarral, próxima a Puerta de Hierro. Tiene conserje y seguridad 24 horas, además de cámaras, retirada de cubos de basura, mantenimiento y limpieza diaria.   En la propia urbanización, nos encontramos con zonas verdes, un parque para niños, canastas, piscina, gimnasio y sala común. La vivienda cuenta con 122m2 según catastro, es totalmente exterior y está formada por 2 dormitorios, uno de ellos en suite con jacuzzi y vestidor, y el otro independiente. Además, encontramos otro baño completo. Salón-comedor con gran capacidad y muebles diseñados a medida. Cocina con lavadero independiente y gran recibidor. Otro punto fuerte del inmueble además de la luz, es la gran insonorización que tiene gracias a las ventanas y lo bien que mantiene la temperatura de la casa. La casa cuenta con armarios empotrados, por lo que tiene mucho almacenaje. La calefacción va por caldera, que es nueva y se revisa cada año. Además, contamos con aire acondicionado.   Incluido en el precio también contamos una plaza de garaje de gran tamaño, perfecta para cualquier tipo de vehículo, y por último, un trastero de 6,31m2 el cual tiene mucho espacio para almacenamiento.   La urbanización está en una zona muy tranquila, con un parque en uno de los lados.   ¿Te imaginas vivir aquí?  MUCHAS DE NUESTRAS PROPIEDADES NO APARECEN EN IDEALISTA, CONSULTA NUESTRA PÁGINA WEB PARA VER MÁS PROPIEDADES EXCLUSIVAS.",good,False,4492.0,{'typology': 'flat'},"{'subtitle': 'Peñagrande, Madrid', 'title': 'Piso'}",True,False,,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",flat,,Piso,"Peñagrande, Madrid",True,True
